"client_rk","visit_dttm","registration_flag","application_flag","finish_flag"
4027,2023-01-27 23:29:28.710,0,0,0
2823,2022-10-25 02:20:49.294,0,0,0
2246,2022-10-05 14:16:07.156,0,0,0
1544,2022-11-20 18:03:20.679,0,0,0
3760,2022-10-12 14:34:45.175,0,0,0
3995,2022-09-10 13:30:35.546,0,0,0
3541,2022-10-27 04:29:49.018,0,0,0
1859,2022-10-13 14:57:56.112,0,0,0
1453,2022-11-05 20:18:41.062,0,0,0
2417,2022-10-18 20:24:08.684,0,0,0
174,2022-12-31 06:44:08.153,1,0,0
238,2022-11-01 14:09:45.672,0,0,0
3680,2022-11-04 13:32:56.257,1,0,0
1640,2022-11-15 16:00:10.510,0,0,0
3445,2022-12-12 05:05:23.955,0,0,0
206,2022-10-25 05:19:54.576,0,0,0
1485,2022-10-02 23:36:53.009,0,0,0
126,2022-12-29 01:16:58.034,0,0,0
1341,2022-12-04 21:14:03.426,1,1,1
2102,2022-09-12 16:55:20.670,0,0,0
3063,2022-09-17 23:24:15.140,0,0,0
3258,2022-11-07 22:20:44.953,0,0,0
2604,2022-12-11 09:02:22.480,0,0,0
1907,2022-12-22 11:01:51.678,0,0,0
2262,2023-01-18 09:46:41.350,1,1,0
2070,2022-12-04 04:18:41.412,0,0,0
1501,2022-09-24 12:51:38.717,0,0,0
1517,2022-09-24 20:55:30.239,1,1,0
3349,2022-11-28 13:40:21.697,1,0,0
3712,2023-01-19 02:33:41.960,0,0,0
2588,2022-12-23 05:09:02.583,1,0,0
2919,2022-11-28 20:10:22.128,0,0,0
3226,2022-12-19 11:26:02.009,0,0,0
3306,2022-09-07 03:21:05.933,1,0,0
3210,2022-11-13 06:09:14.258,0,0,0
297,2022-12-14 21:32:42.244,0,0,0
3851,2023-01-31 12:12:22.689,1,0,0
3477,2022-12-02 22:21:02.306,0,0,0
2903,2022-12-27 08:14:55.356,1,0,0
3098,2023-01-07 07:00:23.091,1,0,0
580,2022-12-03 12:02:28.358,0,0,0
409,2023-01-28 07:50:24.409,0,0,0
345,2022-09-18 16:23:18.168,1,1,0
3290,2022-11-15 06:36:57.065,1,0,0
1154,2022-10-24 17:18:06.572,0,0,0
4075,2022-09-08 19:14:51.199,0,0,0
1923,2023-01-22 06:03:39.674,0,0,0
1138,2022-09-07 19:45:02.912,0,0,0
1576,2022-10-04 10:31:08.236,0,0,0
2796,2022-10-28 16:28:40.395,1,1,1
2150,2022-09-06 12:01:01.133,0,0,0
3242,2023-01-07 19:58:25.080,0,0,0
313,2022-11-17 06:06:05.754,0,0,0
3130,2022-11-10 17:31:50.298,0,0,0
1624,2022-09-17 18:43:56.994,0,0,0
2305,2023-01-04 01:58:40.509,0,0,0
1560,2022-09-13 09:40:13.441,1,0,0
3274,2023-01-08 06:22:28.054,0,0,0
3664,2022-09-03 18:01:07.839,1,1,1
1875,2022-11-21 11:22:08.351,1,0,0
425,2022-09-27 21:13:49.057,1,0,0
3963,2022-11-12 16:21:55.145,0,0,0
2748,2022-10-23 05:52:20.294,0,0,0
2668,2022-10-13 07:34:39.363,0,0,0
692,2022-09-28 03:52:39.319,1,0,0
3696,2023-01-11 01:48:56.941,0,0,0
2230,2023-01-02 23:15:21.466,0,0,0
3899,2022-10-14 12:58:01.981,0,0,0
2353,2022-10-04 19:20:15.614,0,0,0
628,2022-12-14 10:51:38.860,0,0,0
911,2022-12-17 03:38:05.226,1,0,0
3194,2023-01-28 22:54:30.121,1,0,0
393,2022-09-04 06:17:22.358,0,0,0
14,2022-10-23 00:09:17.586,1,0,0
281,2023-01-31 04:48:02.290,0,0,0
3525,2022-10-04 09:00:45.724,0,0,0
1293,2022-10-20 07:48:26.199,0,0,0
1186,2022-11-20 01:11:33.725,0,0,0
4011,2022-11-09 23:57:28.829,0,0,0
78,2022-11-23 04:27:21.510,1,0,0
1720,2023-01-18 11:13:15.765,0,0,0
2935,2022-12-11 17:22:39.740,0,0,0
3792,2023-01-10 14:45:00.056,0,0,0
3867,2022-12-16 12:17:33.399,0,0,0
927,2022-10-17 15:32:08.759,0,0,0
564,2023-01-03 08:43:16.335,0,0,0
1026,2022-10-14 11:36:50.961,0,0,0
2337,2023-01-30 05:01:19.318,0,0,0
975,2023-01-31 09:09:55.849,1,0,0
2716,2022-10-21 10:25:24.535,0,0,0
943,2022-12-10 16:57:55.133,0,0,0
2278,2022-10-06 16:53:02.902,1,0,0
2572,2022-12-26 22:11:12.342,1,0,0
3824,2022-11-19 12:52:53.106,0,0,0
1007,2022-10-29 12:09:03.672,0,0,0
3600,2022-11-30 21:39:50.804,0,0,0
2871,2023-01-15 08:36:49.865,0,0,0
2839,2023-01-24 22:36:50.659,0,0,0
222,2022-11-28 19:19:36.477,0,0,0
1234,2022-09-01 09:00:11.569,0,0,0
1058,2022-09-15 19:39:26.895,0,0,0
3047,2022-10-31 16:05:53.616,0,0,0
676,2022-09-06 20:00:44.776,0,0,0
505,2023-01-12 04:31:54.305,0,0,0
1971,2022-12-04 20:58:41.259,1,0,0
3776,2023-01-19 07:06:22.625,1,1,1
3114,2022-12-31 03:56:48.040,1,0,0
3461,2022-12-30 22:10:21.765,0,0,0
3178,2022-12-15 21:14:14.398,0,0,0
1023,2023-01-13 08:39:04.731,0,0,0
1768,2023-01-11 22:42:32.011,0,0,0
991,2022-11-20 07:05:24.953,0,0,0
516,2022-11-14 23:59:41.563,1,0,0
1688,2022-09-28 14:49:11.370,0,0,0
473,2023-01-13 16:49:50.642,0,0,0
4043,2022-09-12 01:27:06.245,0,0,0
2449,2022-09-11 17:29:43.032,0,0,0
1752,2023-01-03 02:17:20.859,1,1,0
644,2022-11-09 03:34:09.091,0,0,0
847,2023-01-15 23:31:02.164,0,0,0
1357,2022-12-16 20:59:25.881,0,0,0
2855,2022-12-09 03:15:10.071,0,0,0
2951,2022-10-29 14:47:05.609,0,0,0
94,2022-10-02 03:28:11.057,1,0,0
2497,2022-10-12 13:33:30.361,0,0,0
3509,2022-12-21 01:43:56.411,0,0,0
46,2022-12-31 07:27:45.978,0,0,0
1827,2022-10-17 21:25:54.887,1,0,0
895,2022-09-28 13:08:58.810,1,1,1
3493,2022-11-05 21:32:21.064,0,0,0
1090,2022-10-03 15:08:22.506,0,0,0
489,2022-11-21 12:37:19.929,1,0,0
1437,2022-12-15 04:16:46.719,0,0,0
2401,2022-09-21 17:35:07.703,0,0,0
1266,2022-12-25 19:36:30.514,1,0,0
1672,2022-09-30 12:27:44.569,0,0,0
1042,2023-01-20 09:55:04.227,0,0,0
62,2022-09-01 20:51:21.686,0,0,0
3744,2023-01-15 00:12:43.648,0,0,0
1891,2022-10-20 06:31:10.858,0,0,0
4059,2022-09-18 22:56:18.454,0,0,0
3979,2022-11-14 04:28:55.626,1,0,0
2780,2022-09-17 04:56:10.680,1,1,0
2513,2023-01-10 21:39:32.888,0,0,0
1106,2022-09-25 05:37:13.353,0,0,0
3333,2022-11-14 03:06:44.772,0,0,0
224,2022-09-30 23:45:07.963,0,0,0
3583,2023-01-13 21:39:51.036,0,0,0
1969,2022-09-18 07:15:18.358,0,0,0
650,2022-11-29 17:58:00.437,0,0,0
2802,2022-10-16 08:24:24.648,0,0,0
1013,2022-12-23 16:07:23.056,0,0,0
427,2022-10-20 19:31:10.594,0,0,0
949,2022-10-13 01:00:52.650,0,0,0
1447,2022-11-09 03:17:59.642,0,0,0
666,2022-12-27 20:36:09.627,0,0,0
965,2022-11-03 21:56:37.584,1,0,0
3204,2023-01-13 06:15:12.525,1,1,1
1212,2022-11-03 22:51:56.172,0,0,0
3140,2022-12-14 23:15:57.094,1,0,0
1793,2023-01-25 12:56:14.771,0,0,0
762,2022-10-09 20:21:09.053,0,0,0
2674,2022-10-30 17:19:55.558,1,0,0
4009,2022-09-26 18:39:30.390,0,0,0
3076,2023-01-16 04:42:47.427,1,0,0
2403,2023-01-03 06:55:55.453,0,0,0
1303,2022-12-12 22:59:27.354,0,0,0
2483,2022-09-02 11:48:40.630,0,0,0
2323,2022-10-18 16:18:34.505,1,0,0
2001,2022-10-27 18:22:29.451,0,0,0
3268,2022-10-11 09:57:42.950,0,0,0
4096,2022-10-12 04:28:51.509,0,0,0
96,2022-10-08 05:18:55.902,1,0,0
1809,2022-10-27 17:43:17.746,1,0,0
698,2022-11-04 15:04:35.114,0,0,0
475,2022-11-25 03:32:50.953,0,0,0
1686,2022-09-19 16:39:04.133,0,0,0
3694,2023-02-01 03:10:46.461,0,0,0
2307,2022-11-30 02:15:33.802,0,0,0
1260,2022-09-02 23:47:31.784,0,0,0
901,2023-01-25 14:42:59.606,1,0,0
1718,2023-01-23 12:57:23.552,0,0,0
773,2022-10-01 15:15:35.073,0,0,0
3961,2022-10-01 19:53:53.478,0,0,0
2829,2022-09-26 07:28:13.799,1,0,0
2120,2022-11-28 03:13:16.445,0,0,0
2248,2023-01-15 07:29:13.395,0,0,0
1937,2023-01-29 00:45:57.606,1,1,0
3598,2022-11-15 18:56:30.380,1,0,0
3156,2023-01-07 01:18:08.772,1,0,0
1431,2022-10-07 15:46:30.355,0,0,0
16,2023-02-01 03:22:06.635,1,0,0
538,2022-10-29 06:22:29.869,0,0,0
3535,2022-09-03 16:40:57.507,1,0,0
3881,2023-01-17 00:20:08.725,0,0,0
3124,2023-02-02 00:43:47.412,1,0,0
2909,2023-01-13 06:12:18.123,0,0,0
2296,2022-10-03 03:00:46.776,0,0,0
1702,2023-01-03 11:08:06.566,1,0,0
3993,2023-01-25 21:14:17.350,1,0,0
1463,2022-10-23 05:52:51.596,0,0,0
1654,2022-12-10 22:26:44.722,1,1,1
2088,2022-12-31 04:40:10.815,0,0,0
1574,2022-12-25 04:20:58.662,0,0,0
3300,2022-11-05 19:32:17.453,0,0,0
192,2022-09-09 22:27:54.421,0,0,0
2499,2022-09-11 18:58:01.440,0,0,0
3567,2022-11-16 19:25:05.003,0,0,0
80,2022-11-23 19:27:02.644,1,0,0
2925,2022-11-01 10:03:46.759,1,1,1
1527,2022-11-22 19:27:44.386,1,0,0
379,2022-12-03 18:33:48.705,0,0,0
522,2023-01-09 06:01:14.592,0,0,0
1590,2022-11-06 01:03:40.706,0,0,0
3021,2023-01-16 01:58:33.098,0,0,0
3220,2022-10-18 18:27:52.667,0,0,0
2610,2023-01-18 13:25:57.872,0,0,0
2989,2022-10-13 03:29:54.038,0,0,0
2957,2022-10-30 07:40:33.333,0,0,0
3188,2022-09-12 16:55:47.529,0,0,0
1511,2023-01-21 08:06:27.922,0,0,0
1068,2022-12-21 18:33:33.592,0,0,0
1905,2022-09-02 11:16:09.838,0,0,0
3646,2022-12-13 08:05:10.123,0,0,0
1228,2022-11-24 12:23:17.775,0,0,0
3774,2022-12-18 23:21:13.295,0,0,0
3407,2022-12-05 00:57:39.526,0,0,0
1084,2022-09-13 00:39:56.991,0,0,0
837,2023-01-06 03:06:46.422,1,0,0
1606,2022-09-05 05:22:45.209,1,0,0
4073,2022-12-04 02:08:40.263,0,0,0
2104,2022-10-17 09:34:53.450,0,0,0
2658,2023-01-18 15:03:52.889,0,0,0
32,2022-09-05 08:29:23.634,1,0,0
3913,2023-01-02 07:37:14.650,0,0,0
3790,2023-01-26 17:07:16.807,0,0,0
3662,2022-10-04 05:44:01.538,0,0,0
2056,2023-01-06 16:01:46.505,1,0,0
1148,2022-09-01 16:13:46.244,0,0,0
2467,2022-09-19 11:23:33.841,1,1,1
2642,2023-01-07 15:42:25.461,1,0,0
1196,2022-10-18 01:19:11.655,0,0,0
730,2022-10-08 05:36:00.141,0,0,0
2973,2023-01-30 14:45:37.546,0,0,0
1953,2023-01-30 19:34:08.712,1,1,0
1825,2023-01-10 20:41:39.081,1,0,0
3069,2023-01-27 04:16:58.736,0,0,0
2168,2022-11-02 09:25:19.609,0,0,0
3359,2023-01-29 18:55:30.515,0,0,0
1415,2023-01-28 10:58:58.958,1,0,0
634,2023-01-01 08:01:56.834,0,0,0
1558,2023-01-25 20:11:16.896,1,0,0
1985,2022-09-02 10:14:23.046,0,0,0
2072,2022-12-22 00:50:06.511,1,0,0
112,2022-10-04 11:09:54.376,1,0,0
554,2022-10-12 01:46:17.361,1,0,0
2451,2023-01-15 17:51:30.531,0,0,0
1132,2022-09-15 09:00:13.191,1,0,0
3929,2022-12-16 17:27:30.804,1,0,0
3838,2022-10-13 16:03:29.730,1,1,1
3005,2022-10-31 04:53:22.619,0,0,0
64,2022-11-20 18:18:29.395,1,0,0
4089,2023-01-13 10:54:29.580,0,0,0
1734,2023-01-23 09:21:43.880,0,0,0
4025,2022-12-03 14:52:22.744,1,1,1
2626,2022-09-04 07:32:48.385,0,0,0
3236,2022-10-12 09:59:51.998,0,0,0
933,2023-01-12 04:05:09.603,0,0,0
507,2022-12-15 20:56:58.220,0,0,0
2371,2022-12-18 12:33:37.977,1,0,0
2738,2022-12-01 10:18:46.606,0,0,0
1750,2022-12-29 16:14:46.607,0,0,0
1244,2022-12-28 22:54:56.115,0,0,0
4041,2023-01-11 15:15:59.366,1,0,0
3343,2022-12-01 02:34:16.171,1,0,0
2722,2023-01-27 22:17:07.353,0,0,0
1542,2022-10-05 03:38:11.409,0,0,0
3284,2023-01-05 07:42:33.566,0,0,0
3806,2022-09-13 14:30:02.465,1,0,0
347,2022-11-10 14:27:52.600,1,0,0
1383,2022-11-20 05:56:36.201,0,0,0
917,2022-10-29 10:59:03.370,0,0,0
160,2022-11-27 18:45:28.371,0,0,0
1889,2022-11-12 17:22:48.317,0,0,0
2706,2023-01-23 23:04:17.220,0,0,0
2216,2023-01-10 13:03:54.168,1,1,1
602,2023-01-26 01:00:47.605,1,0,0
618,2023-01-24 13:15:14.508,0,0,0
2941,2022-11-10 01:15:37.008,0,0,0
3053,2022-09-14 02:36:37.748,0,0,0
411,2023-01-09 00:51:28.352,1,0,0
3849,2022-09-11 20:04:38.027,0,0,0
1622,2022-12-04 19:44:56.808,0,0,0
1164,2022-11-06 12:26:45.017,0,0,0
682,2023-01-22 15:24:18.513,0,0,0
3519,2022-09-29 17:31:05.672,0,0,0
3726,2022-09-14 20:09:14.320,1,1,1
1116,2022-11-24 10:13:14.680,0,0,0
1052,2022-11-29 09:38:10.452,0,0,0
3471,2022-10-31 04:43:00.959,0,0,0
1036,2022-11-27 03:09:19.297,0,0,0
1399,2022-11-17 08:42:52.906,0,0,0
491,2022-09-26 09:08:06.681,1,1,1
1638,2023-01-11 11:37:24.009,0,0,0
3630,2022-10-07 12:14:37.106,1,0,0
2515,2022-11-10 14:12:06.839,0,0,0
3503,2023-01-01 06:28:57.882,1,1,1
459,2023-01-28 15:25:45.967,0,0,0
315,2022-12-06 13:05:02.294,0,0,0
3945,2022-12-31 14:57:14.791,0,0,0
2877,2022-11-15 02:50:44.909,0,0,0
2339,2023-01-01 17:11:04.991,0,0,0
2232,2022-10-27 08:16:24.743,1,0,0
2754,2022-10-19 12:58:10.736,0,0,0
2387,2022-12-20 02:16:10.635,0,0,0
1100,2022-11-23 15:57:46.288,0,0,0
208,2022-09-06 20:45:41.252,0,0,0
1873,2023-01-29 13:51:28.959,0,0,0
1479,2023-01-29 03:11:19.808,0,0,0
3822,2023-01-02 23:33:01.430,0,0,0
1766,2022-11-22 02:20:11.714,1,1,1
2531,2023-01-24 09:05:31.092,0,0,0
2786,2022-10-11 10:51:41.313,1,1,1
714,2022-12-02 19:46:09.220,0,0,0
395,2022-11-20 21:31:43.379,0,0,0
1367,2022-12-08 03:12:28.630,0,0,0
3455,2022-10-12 01:57:28.049,0,0,0
821,2022-11-15 02:56:47.412,0,0,0
853,2022-09-14 16:38:47.801,1,0,0
2435,2022-11-15 09:30:31.120,0,0,0
176,2022-10-23 01:27:23.503,0,0,0
1670,2022-11-16 13:51:53.253,0,0,0
2033,2022-10-05 23:38:25.390,0,0,0
2280,2022-12-08 04:46:07.062,0,0,0
3614,2022-11-14 19:08:55.220,0,0,0
1351,2022-10-14 21:42:48.766,1,0,0
2355,2022-10-28 11:24:24.805,0,0,0
3977,2022-11-03 01:45:05.009,0,0,0
1180,2022-10-23 18:35:58.141,1,1,1
1841,2022-10-20 12:24:23.572,0,0,0
2594,2022-11-25 19:14:54.390,0,0,0
48,2023-01-14 09:34:52.167,1,0,0
3742,2022-10-23 01:45:29.515,0,0,0
3252,2022-11-24 01:59:54.993,0,0,0
283,2022-10-26 16:59:02.251,0,0,0
1921,2022-09-05 12:15:46.559,0,0,0
2264,2022-11-28 01:26:16.895,0,0,0
586,2022-10-16 08:02:23.204,1,0,0
2562,2022-10-22 11:41:07.154,1,0,0
443,2022-12-07 15:02:04.229,0,0,0
3551,2022-10-28 01:55:43.337,0,0,0
1319,2023-01-15 12:40:03.211,0,0,0
570,2022-11-09 15:25:01.865,0,0,0
128,2022-12-06 06:36:36.164,0,0,0
2200,2022-12-05 11:21:21.063,0,0,0
1857,2023-01-16 14:55:24.819,0,0,0
997,2023-01-01 19:54:03.285,1,0,0
240,2022-11-19 13:41:48.638,0,0,0
2578,2022-10-02 11:40:03.196,0,0,0
3678,2022-11-23 09:24:28.473,0,0,0
3897,2022-11-24 16:19:56.511,0,0,0
3865,2022-11-12 02:09:41.666,0,0,0
2845,2023-01-10 02:08:47.311,1,0,0
805,2022-11-30 11:58:31.948,1,1,1
3092,2022-09-16 02:00:55.861,0,0,0
3710,2023-01-31 06:36:08.508,0,0,0
2893,2022-11-11 07:53:27.380,0,0,0
1335,2022-11-27 11:20:11.806,1,0,0
4057,2022-10-28 14:04:30.654,0,0,0
3037,2022-11-18 10:27:04.913,0,0,0
2419,2022-12-24 09:20:06.892,1,0,0
1390,2023-02-02 02:08:28.616,0,0,0
3233,2022-09-24 13:23:41.318,1,1,1
2181,2022-12-12 20:36:43.774,0,0,0
1342,2022-12-28 01:19:17.014,1,0,0
258,2022-10-09 15:31:36.355,1,0,0
1711,2022-12-18 01:47:06.997,0,0,0
531,2022-11-09 10:32:10.781,0,0,0
888,2022-11-19 23:19:36.703,0,0,0
2197,2023-01-18 15:36:07.225,0,0,0
274,2022-12-21 10:32:12.177,0,0,0
173,2022-09-20 02:39:22.292,0,0,0
4012,2022-12-26 18:24:59.777,0,0,0
1177,2022-09-07 14:14:23.080,0,0,0
2036,2022-09-03 07:41:54.870,0,0,0
3574,2023-01-02 10:28:35.382,0,0,0
1016,2022-09-15 15:44:45.207,1,0,0
2715,2023-01-06 15:41:45.405,1,0,0
2474,2023-01-21 16:22:38.938,0,0,0
3462,2022-09-30 01:13:44.556,0,0,0
3980,2023-01-30 21:49:16.547,0,0,0
3719,2022-09-18 23:21:57.126,0,0,0
1583,2022-09-02 00:20:48.005,0,0,0
1358,2022-09-11 03:37:35.419,0,0,0
1113,2023-01-04 05:16:32.305,0,0,0
2587,2022-09-01 11:06:21.667,0,0,0
952,2022-12-06 11:09:18.453,0,0,0
920,2022-10-22 12:45:43.107,1,0,0
3783,2022-10-12 12:12:17.326,0,0,0
4092,2022-09-09 01:06:40.373,0,0,0
2603,2022-10-22 22:15:54.763,1,0,0
3815,2022-10-04 02:19:14.468,0,0,0
3868,2022-11-21 10:18:49.383,0,0,0
2165,2022-12-25 03:12:24.316,0,0,0
1695,2022-12-10 11:25:31.848,0,0,0
2053,2022-09-22 04:57:15.545,1,0,0
3478,2022-10-19 20:40:12.605,1,0,0
3350,2022-09-24 16:21:29.869,0,0,0
1310,2022-12-26 07:58:28.560,0,0,0
3265,2022-12-15 17:13:38.936,0,0,0
418,2022-12-19 13:39:26.805,1,0,0
1209,2023-01-19 23:16:37.135,0,0,0
2213,2022-09-03 13:39:24.212,0,0,0
2410,2023-01-19 04:01:30.429,0,0,0
808,2022-12-12 17:21:30.197,1,0,0
2763,2022-10-06 17:38:50.909,0,0,0
2149,2023-01-02 18:16:04.110,0,0,0
3623,2023-01-14 03:55:50.169,0,0,0
221,2022-11-10 04:35:45.101,0,0,0
3414,2022-10-25 21:37:29.490,0,0,0
3089,2022-12-30 10:52:02.106,0,0,0
1663,2022-11-16 02:04:17.564,0,0,0
1551,2022-10-04 01:50:25.972,0,0,0
1486,2022-09-21 13:31:40.088,0,0,0
3382,2023-01-06 00:34:49.374,0,0,0
402,2022-09-06 03:49:06.021,1,0,0
1294,2022-12-23 07:36:59.099,0,0,0
3510,2022-11-25 17:04:24.634,0,0,0
1908,2022-10-07 17:50:12.824,0,0,0
2619,2023-01-13 04:20:21.008,0,0,0
1796,2022-11-23 11:14:53.330,0,0,0
1438,2022-11-13 16:14:05.291,0,0,0
3153,2022-10-25 08:28:34.565,0,0,0
2848,2022-12-17 12:40:03.263,0,0,0
2394,2022-12-31 12:19:38.834,0,0,0
3137,2022-10-22 22:05:03.344,1,1,0
3735,2022-11-26 09:42:29.484,1,0,0
290,2022-10-02 04:52:01.486,1,0,0
3799,2023-01-20 00:40:45.997,0,0,0
1145,2022-12-13 04:49:04.686,0,0,0
3542,2022-11-04 21:46:16.377,0,0,0
2117,2022-10-11 16:48:13.498,0,0,0
3217,2022-12-08 04:10:38.869,0,0,0
3185,2022-09-14 22:15:18.619,0,0,0
1065,2022-10-13 21:43:45.130,0,0,0
2816,2022-11-12 03:04:37.013,1,0,0
1924,2022-12-06 09:36:27.649,1,1,1
2832,2023-01-05 21:37:41.443,0,0,0
3073,2022-10-03 02:20:39.141,1,0,0
1727,2022-12-09 19:57:25.899,0,0,0
2314,2022-11-12 21:48:33.776,0,0,0
189,2022-12-20 18:16:42.699,0,0,0
3040,2022-12-14 16:57:43.565,1,0,0
3297,2022-10-28 16:02:24.795,0,0,0
3884,2022-09-11 11:58:18.410,1,0,0
707,2022-11-10 15:36:51.501,1,0,0
1775,2022-09-25 04:34:37.873,0,0,0
253,2022-10-20 18:44:57.153,0,0,0
77,2022-12-18 07:46:14.432,1,1,0
1988,2022-09-29 02:52:46.210,0,0,0
1033,2022-10-10 02:04:28.311,1,0,0
1759,2022-09-22 16:12:31.266,0,0,0
1273,2022-12-31 04:55:43.342,0,0,0
1161,2022-11-01 11:38:04.009,0,0,0
13,2022-09-19 13:18:09.905,1,0,0
3430,2022-09-13 15:38:00.924,0,0,0
675,2022-11-04 04:57:03.571,0,0,0
3767,2022-10-17 14:34:36.823,0,0,0
29,2022-12-27 23:24:42.146,1,0,0
157,2022-12-04 13:14:15.979,0,0,0
1631,2022-12-28 21:59:00.829,1,0,0
2004,2022-10-19 23:29:58.056,0,0,0
3831,2023-01-05 16:25:05.968,0,0,0
237,2023-01-24 11:13:06.663,0,0,0
1097,2022-10-04 06:53:28.468,0,0,0
2912,2022-10-08 21:18:29.390,1,0,0
2245,2023-01-22 22:50:48.729,0,0,0
2928,2022-11-12 13:44:47.372,0,0,0
3008,2022-10-06 06:44:08.675,0,0,0
1743,2022-12-07 01:54:20.717,1,0,0
872,2022-11-26 14:51:26.231,0,0,0
2522,2022-11-20 22:58:36.686,0,0,0
1422,2022-10-18 18:06:48.715,0,0,0
3526,2022-11-21 11:10:16.293,0,0,0
1225,2022-11-27 22:48:59.927,0,0,0
1567,2022-12-06 21:44:06.551,1,1,0
2699,2022-12-04 06:37:57.442,0,0,0
4028,2022-09-06 23:59:44.010,0,0,0
2944,2022-11-27 10:43:32.428,0,0,0
723,2022-11-04 01:55:55.982,0,0,0
1257,2022-10-25 09:14:51.215,0,0,0
515,2023-01-20 23:13:29.672,1,1,0
691,2022-11-18 12:33:05.575,1,0,0
2992,2022-12-25 19:20:18.836,0,0,0
3056,2022-09-11 09:23:45.083,0,0,0
1892,2022-09-30 14:09:24.194,0,0,0
3639,2022-10-20 20:24:30.654,0,0,0
1599,2022-12-24 14:30:25.406,0,0,0
2795,2023-01-13 01:04:22.337,1,1,0
563,2022-12-06 08:32:10.470,0,0,0
2133,2023-01-18 05:39:19.021,0,0,0
1000,2023-01-09 17:36:06.016,0,0,0
755,2023-01-15 18:07:45.884,0,0,0
2976,2022-10-09 12:23:32.525,1,0,0
450,2023-01-02 23:16:17.911,0,0,0
984,2022-11-17 07:15:42.251,0,0,0
109,2022-12-23 11:14:24.548,0,0,0
