ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
99,1,1,377,1276,899
100,0,0,28,0,-28
101,1,1,249,2062,1813
102,0,0,202,0,-202
103,0,0,17,0,-17
104,0,0,21,0,-21
105,0,0,150,0,-150
106,1,1,84,1343,1259
107,1,0,6,0,-6
108,0,0,8,0,-8
109,0,0,15,0,-15
110,1,1,280,1269,989
111,0,0,101,0,-101
112,1,1,143,1349,1206
113,1,1,588,1386,798
114,1,1,596,1343,747
115,1,1,668,2063,1395
116,0,0,23,0,-23
117,0,0,97,0,-97
118,0,0,34,0,-34
119,0,0,44,0,-44
120,1,0,53,0,-53
121,0,0,25,0,-25
122,1,1,190,1347,1157
123,0,0,6,0,-6
124,1,0,16,0,-16
125,0,0,33,0,-33
126,1,1,9,1204,1195
127,1,0,105,0,-105
128,1,1,405,1464,1059
129,1,0,4,0,-4
130,0,0,75,0,-75
131,1,1,55,2196,2141
132,0,0,42,0,-42
133,1,0,81,0,-81
134,0,0,58,0,-58
135,1,0,1,0,-1
136,1,0,36,0,-36
137,1,0,32,0,-32
138,0,0,13,0,-13
139,1,1,1869,1505,-364
140,1,0,57,0,-57
141,1,1,644,1761,1117
142,0,0,121,0,-121
143,0,0,66,0,-66
144,1,1,937,1332,395
145,1,1,438,1527,1089
146,1,0,78,0,-78
147,0,0,15,0,-15
148,0,0,99,0,-99
149,1,0,26,0,-26
150,1,1,275,2083,1808
151,0,0,48,0,-48
152,1,1,155,1331,1176
153,1,0,123,0,-123
154,0,0,129,0,-129
155,0,0,42,0,-42
156,1,0,35,0,-35
157,1,1,992,1413,421
158,0,0,59,0,-59
159,0,0,3,0,-3
160,0,0,115,0,-115
161,0,0,7,0,-7
162,0,0,26,0,-26
163,1,1,932,2373,1441
164,0,0,1,0,-1
165,1,1,620,1336,716
166,0,0,12,0,-12
167,1,1,712,1269,557
168,1,1,702,1243,541
169,0,0,7,0,-7
170,0,0,10,0,-10
171,1,1,437,2269,1832
172,1,1,210,1260,1050
173,1,0,0,0,0
174,1,0,16,0,-16
175,1,0,51,0,-51
176,1,0,105,0,-105
177,0,0,57,0,-57
178,1,1,49,1367,1318
179,1,1,1275,1378,103
180,0,0,93,0,-93
181,1,0,16,0,-16
182,0,0,2,0,-2
183,1,1,541,1216,675
184,1,0,149,0,-149
185,0,0,12,0,-12
186,1,0,12,0,-12
187,0,0,8,0,-8
188,0,0,35,0,-35
189,1,1,836,1418,582
190,1,0,110,0,-110
191,0,0,42,0,-42
192,0,0,104,0,-104
193,0,0,8,0,-8
194,1,0,1,0,-1
195,1,0,9,0,-9
196,0,0,5,0,-5
197,0,0,62,0,-62
198,1,0,23,0,-23
199,1,1,1155,1283,128
200,1,1,735,1223,488
201,1,1,131,1770,1639
202,1,0,108,0,-108
203,1,1,281,2611,2330
204,0,0,14,0,-14
205,1,0,52,0,-52
206,1,1,328,1707,1379
207,1,1,879,1207,328
208,0,0,90,0,-90
209,0,0,18,0,-18
210,0,0,5,0,-5
211,1,0,61,0,-61
212,1,0,77,0,-77
213,0,0,34,0,-34
214,1,0,32,0,-32
215,0,0,8,0,-8
216,1,0,48,0,-48
217,1,1,891,1788,897
218,1,0,48,0,-48
219,0,0,17,0,-17
220,1,1,188,1287,1099
221,1,0,20,0,-20
222,0,0,15,0,-15
223,1,1,1021,2037,1016
224,0,0,88,0,-88
225,1,0,27,0,-27
226,0,0,28,0,-28
227,1,1,94,1270,1176
228,0,0,32,0,-32
229,1,1,56,1712,1656
230,0,0,5,0,-5
231,1,0,31,0,-31
232,1,0,74,0,-74
233,0,0,57,0,-57
234,0,0,209,0,-209
235,1,1,938,1205,267
236,0,0,3,0,-3
237,0,0,14,0,-14
238,0,0,61,0,-61
239,0,0,8,0,-8
240,1,0,28,0,-28
241,1,0,15,0,-15
242,0,0,16,0,-16
243,1,1,205,1332,1127
244,1,1,140,1261,1121
245,0,0,246,0,-246
246,0,0,81,0,-81
247,0,0,68,0,-68
248,0,0,13,0,-13
249,0,0,28,0,-28
250,1,1,310,1841,1531
251,1,1,71,1401,1330
252,1,0,113,0,-113
253,0,0,56,0,-56
254,0,0,21,0,-21
255,1,1,534,1347,813
256,1,0,157,0,-157
257,1,0,13,0,-13
258,1,0,33,0,-33
259,1,0,32,0,-32
260,1,0,3,0,-3
261,1,1,147,1454,1307
262,1,1,278,2182,1904
263,0,0,1,0,-1
264,1,0,130,0,-130
265,1,0,27,0,-27
266,1,1,676,2876,2200
267,0,0,23,0,-23
268,1,0,45,0,-45
269,1,0,4,0,-4
270,0,0,84,0,-84
271,1,0,29,0,-29
272,0,0,57,0,-57
273,1,1,770,2009,1239
274,1,1,449,1478,1029
275,1,0,7,0,-7
276,1,1,1582,1219,-363
277,1,1,186,1729,1543
278,1,1,648,2160,1512
279,0,0,26,0,-26
280,0,0,123,0,-123
281,1,0,28,0,-28
282,1,0,5,0,-5
283,1,1,527,1241,714
284,1,0,127,0,-127
285,1,1,1072,1703,631
286,1,0,31,0,-31
287,0,0,43,0,-43
288,1,1,13,2973,2960
289,0,0,12,0,-12
290,1,0,79,0,-79
291,1,1,233,1598,1365
292,1,1,415,1296,881
293,1,1,411,1285,874
294,0,0,23,0,-23
295,1,1,1313,1225,-88
296,0,0,55,0,-55
297,0,0,11,0,-11
298,0,0,123,0,-123
299,0,0,63,0,-63
300,1,0,65,0,-65
301,0,0,95,0,-95
302,0,0,37,0,-37
303,1,1,80,3500,3420
304,1,0,87,0,-87
305,1,0,7,0,-7
306,0,0,1,0,-1
307,0,0,148,0,-148
308,0,0,7,0,-7
309,0,0,17,0,-17
310,1,1,734,1489,755
311,1,1,115,1856,1741
312,0,0,39,0,-39
313,1,1,598,2063,1465
314,0,0,1,0,-1
315,1,0,5,0,-5
316,1,1,591,2749,2158
317,1,0,27,0,-27
318,1,1,302,1373,1071
319,1,1,220,1639,1419
320,1,1,135,1224,1089
321,0,0,179,0,-179
322,0,0,25,0,-25
323,0,0,67,0,-67
324,0,0,25,0,-25
325,1,1,438,1227,789
326,1,0,16,0,-16
327,0,0,94,0,-94
328,1,0,28,0,-28
329,0,0,7,0,-7
330,1,1,767,1281,514
331,0,0,97,0,-97
332,1,1,353,1360,1007
333,1,1,394,1609,1215
334,1,1,36,1917,1881
335,1,1,783,1434,651
336,0,0,56,0,-56
337,0,0,14,0,-14
338,1,1,1195,1210,15
339,0,0,49,0,-49
340,1,1,883,1358,475
341,1,0,120,0,-120
342,0,0,34,0,-34
343,1,0,39,0,-39
344,0,0,5,0,-5
345,0,0,10,0,-10
346,1,0,1,0,-1
347,0,0,51,0,-51
348,1,0,23,0,-23
349,0,0,72,0,-72
350,0,0,3,0,-3
351,1,1,44,1606,1562
352,1,0,172,0,-172
353,1,0,44,0,-44
354,0,0,225,0,-225
355,1,1,610,1423,813
356,0,0,12,0,-12
357,1,1,220,1500,1280
358,0,0,34,0,-34
359,1,1,538,1391,853
360,0,0,53,0,-53
361,0,0,231,0,-231
362,1,1,479,1292,813
363,1,1,867,1688,821
364,1,0,47,0,-47
365,0,0,7,0,-7
366,0,0,21,0,-21
367,1,1,19,4690,4671
368,1,0,16,0,-16
369,1,0,224,0,-224
370,0,0,239,0,-239
371,1,0,48,0,-48
372,1,1,1480,1286,-194
373,0,0,0,0,0
374,1,1,1343,2356,1013
375,0,0,5,0,-5
376,0,0,30,0,-30
377,0,0,215,0,-215
378,0,0,10,0,-10
379,1,1,233,1315,1082
380,0,0,105,0,-105
381,0,0,14,0,-14
382,0,0,5,0,-5
383,0,0,39,0,-39
384,1,1,352,1393,1041
385,0,0,62,0,-62
386,1,0,5,0,-5
387,1,0,24,0,-24
388,0,0,55,0,-55
389,1,0,41,0,-41
390,1,0,13,0,-13
391,0,0,29,0,-29
392,1,0,2,0,-2
393,0,0,60,0,-60
394,1,1,502,1242,740
395,0,0,105,0,-105
396,1,0,88,0,-88
397,0,0,63,0,-63
398,1,1,308,1651,1343
399,0,0,3,0,-3
400,0,0,122,0,-122
401,0,0,13,0,-13
402,1,1,17,1680,1663
403,1,1,118,1395,1277
404,0,0,48,0,-48
405,0,0,29,0,-29
406,1,1,772,1409,637
407,1,0,174,0,-174
408,1,0,162,0,-162
409,1,1,452,1626,1174
410,1,0,55,0,-55
411,1,0,93,0,-93
412,0,0,27,0,-27
413,1,1,442,1745,1303
414,0,0,36,0,-36
415,0,0,81,0,-81
416,1,0,13,0,-13
417,0,0,4,0,-4
418,1,1,321,1223,902
419,1,0,14,0,-14
420,1,0,31,0,-31
421,0,0,17,0,-17
422,1,1,42,1494,1452
423,0,0,26,0,-26
424,0,0,112,0,-112
425,0,0,22,0,-22
426,1,0,26,0,-26
427,0,0,34,0,-34
428,1,1,367,1230,863
429,0,0,97,0,-97
430,1,1,221,1207,986
431,0,0,151,0,-151
432,0,0,8,0,-8
433,1,0,55,0,-55
434,1,0,4,0,-4
435,0,0,91,0,-91
436,0,0,3,0,-3
437,1,0,15,0,-15
438,1,0,30,0,-30
439,0,0,51,0,-51
440,1,1,65,2319,2254
441,1,0,174,0,-174
442,1,0,7,0,-7
443,1,0,125,0,-125
444,0,0,62,0,-62
445,0,0,22,0,-22
446,1,0,39,0,-39
447,0,0,76,0,-76
448,1,0,1,0,-1
449,1,0,10,0,-10
450,1,1,74,1284,1210
451,0,0,0,0,0
452,0,0,20,0,-20
453,0,0,29,0,-29
454,1,1,668,1536,868
455,0,0,112,0,-112
456,1,1,644,1259,615
457,1,1,926,1318,392
458,0,0,56,0,-56
459,1,0,45,0,-45
460,0,0,2,0,-2
461,1,0,17,0,-17
462,0,0,51,0,-51
463,0,0,6,0,-6
464,1,1,273,1772,1499
465,1,1,388,1442,1054
466,1,0,43,0,-43
467,0,0,170,0,-170
468,1,0,32,0,-32
469,1,1,114,2237,2123
470,1,0,10,0,-10
471,1,0,7,0,-7
472,1,1,1019,1484,465
473,1,1,98,1465,1367
474,1,0,69,0,-69
475,1,1,477,1435,958
476,1,1,252,2231,1979
477,1,1,344,1489,1145
478,0,0,11,0,-11
479,1,1,724,1976,1252
480,0,0,17,0,-17
481,1,0,71,0,-71
482,0,0,18,0,-18
483,1,0,8,0,-8
484,0,0,164,0,-164
485,0,0,5,0,-5
486,1,1,1164,1316,152
487,0,0,21,0,-21
488,1,1,147,1220,1073
489,0,0,3,0,-3
490,1,0,29,0,-29
491,0,0,20,0,-20
492,1,0,54,0,-54
493,0,0,221,0,-221
494,1,0,89,0,-89
495,1,0,55,0,-55
496,0,0,4,0,-4
497,1,0,26,0,-26
498,1,1,501,1482,981
499,0,0,1,0,-1
500,1,1,1768,1397,-371
501,1,0,157,0,-157
502,1,0,58,0,-58
503,1,1,94,1203,1109
504,1,1,147,1226,1079
505,0,0,142,0,-142
506,0,0,71,0,-71
507,1,0,135,0,-135
508,1,1,576,1426,850
509,0,0,27,0,-27
510,0,0,15,0,-15
511,1,0,3,0,-3
512,0,0,15,0,-15
513,0,0,1,0,-1
514,0,0,47,0,-47
515,0,0,28,0,-28
516,1,0,18,0,-18
517,1,1,413,1237,824
518,0,0,26,0,-26
519,0,0,12,0,-12
520,1,1,1586,1760,174
521,1,1,665,1326,661
522,0,0,30,0,-30
523,0,0,17,0,-17
524,1,0,203,0,-203
525,0,0,116,0,-116
526,1,1,470,1685,1215
527,0,0,24,0,-24
528,1,0,71,0,-71
529,0,0,72,0,-72
530,0,0,110,0,-110
531,1,1,579,1740,1161
532,1,0,17,0,-17
533,1,0,0,0,0
534,0,0,69,0,-69
535,0,0,108,0,-108
536,1,0,4,0,-4
537,1,0,16,0,-16
538,1,1,830,1873,1043
539,0,0,78,0,-78
540,0,0,125,0,-125
541,1,1,317,1779,1462
542,0,0,9,0,-9
543,1,0,47,0,-47
544,1,0,8,0,-8
545,0,0,26,0,-26
546,1,1,1137,1398,261
547,1,1,60,1978,1918
548,0,0,195,0,-195
549,0,0,25,0,-25
550,0,0,66,0,-66
551,1,0,60,0,-60
552,1,1,659,1441,782
553,1,1,260,1486,1226
554,0,0,107,0,-107
555,1,1,107,2075,1968
556,1,1,299,3074,2775
557,1,0,39,0,-39
558,1,0,16,0,-16
559,1,1,338,1526,1188
560,1,1,819,1209,390
561,1,1,244,1895,1651
562,1,1,182,1360,1178
563,0,0,5,0,-5
564,0,0,11,0,-11
565,0,0,29,0,-29
566,1,0,3,0,-3
567,1,1,142,2663,2521
568,1,0,247,0,-247
569,0,0,45,0,-45
570,0,0,36,0,-36
571,1,1,1272,1384,112
572,0,0,35,0,-35
573,0,0,17,0,-17
574,1,0,11,0,-11
575,1,0,49,0,-49
576,1,1,536,1359,823
577,1,1,604,1382,778
578,0,0,48,0,-48
579,1,1,2275,1438,-837
580,0,0,15,0,-15
581,0,0,55,0,-55
582,1,1,1370,1211,-159
583,1,0,41,0,-41
584,1,0,21,0,-21
585,1,0,81,0,-81
586,0,0,12,0,-12
587,1,1,1233,1482,249
588,1,1,1102,1319,217
589,1,1,1896,1273,-623
590,1,1,734,1218,484
591,1,1,874,3649,2775
592,1,0,19,0,-19
593,0,0,161,0,-161
594,1,1,640,1342,702
595,1,1,814,1225,411
596,0,0,26,0,-26
597,1,1,388,1400,1012
598,0,0,10,0,-10
599,0,0,179,0,-179
600,0,0,8,0,-8
601,1,1,419,1365,946
602,1,0,46,0,-46
603,1,1,360,2149,1789
604,1,1,68,1214,1146
605,1,1,737,1283,546
606,0,0,1,0,-1
607,0,0,4,0,-4
608,1,1,473,1924,1451
609,0,0,43,0,-43
610,1,1,3050,1359,-1691
611,1,1,188,1227,1039
612,1,1,179,1514,1335
613,0,0,31,0,-31
614,1,1,53,1219,1166
615,0,0,8,0,-8
616,1,1,121,1680,1559
617,1,0,124,0,-124
618,1,0,16,0,-16
619,1,0,123,0,-123
620,1,0,18,0,-18
621,0,0,3,0,-3
622,1,1,835,1323,488
623,1,0,24,0,-24
624,1,0,3,0,-3
625,1,0,8,0,-8
626,1,0,7,0,-7
627,0,0,17,0,-17
628,0,0,21,0,-21
629,1,0,11,0,-11
630,1,0,25,0,-25
631,0,0,23,0,-23
632,1,0,38,0,-38
633,0,0,48,0,-48
634,1,1,90,1534,1444
635,0,0,32,0,-32
636,1,1,201,1337,1136
637,1,0,4,0,-4
638,1,1,472,1452,980
639,1,1,339,1724,1385
640,0,0,12,0,-12
641,1,0,24,0,-24
642,1,1,85,1486,1401
643,1,1,2009,1707,-302
644,1,0,40,0,-40
645,0,0,35,0,-35
646,1,0,63,0,-63
647,0,0,62,0,-62
648,0,0,52,0,-52
649,1,1,669,1288,619
650,1,0,2,0,-2
651,1,0,2,0,-2
652,1,1,1045,1569,524
653,1,0,83,0,-83
654,0,0,153,0,-153
655,0,0,55,0,-55
656,0,0,27,0,-27
657,1,1,79,1203,1124
658,1,0,2,0,-2
659,0,0,133,0,-133
660,1,0,36,0,-36
661,1,1,392,1200,808
662,1,1,356,1649,1293
663,0,0,74,0,-74
664,0,0,203,0,-203
665,0,0,6,0,-6
666,1,1,654,2164,1510
667,0,0,43,0,-43
668,0,0,13,0,-13
669,1,0,14,0,-14
670,0,0,30,0,-30
671,1,0,16,0,-16
672,1,0,33,0,-33
673,1,0,40,0,-40
674,0,0,37,0,-37
675,0,0,53,0,-53
676,1,1,643,1245,602
677,1,1,104,1246,1142
678,0,0,33,0,-33
679,1,0,56,0,-56
680,1,1,371,1714,1343
681,0,0,20,0,-20
682,1,0,90,0,-90
683,0,0,14,0,-14
684,1,0,28,0,-28
685,1,1,724,1262,538
686,1,1,596,1953,1357
687,1,0,26,0,-26
688,1,1,981,1363,382
689,1,1,806,1417,611
690,0,0,27,0,-27
691,0,0,77,0,-77
692,1,0,128,0,-128
693,0,0,13,0,-13
694,0,0,166,0,-166
695,0,0,20,0,-20
696,1,1,428,1456,1028
697,0,0,106,0,-106
698,1,1,85,2172,2087
699,1,1,132,1560,1428
700,1,1,280,1211,931
701,0,0,21,0,-21
702,1,1,341,3251,2910
703,1,1,426,1241,815
704,0,0,76,0,-76
705,1,0,113,0,-113
706,1,1,1172,2238,1066
707,0,0,4,0,-4
708,1,0,94,0,-94
709,0,0,127,0,-127
710,0,0,85,0,-85
711,0,0,131,0,-131
712,1,1,2175,1889,-286
713,1,1,65,1234,1169
714,1,0,4,0,-4
715,1,1,120,2398,2278
716,0,0,6,0,-6
717,0,0,25,0,-25
718,1,1,990,2605,1615
719,1,1,316,1252,936
720,1,1,77,1293,1216
721,1,0,12,0,-12
722,1,0,48,0,-48
723,0,0,11,0,-11
724,1,0,42,0,-42
725,0,0,21,0,-21
726,1,1,1167,1317,150
727,1,1,221,1305,1084
728,0,0,27,0,-27
729,0,0,39,0,-39
730,1,0,34,0,-34
731,1,1,243,1628,1385
732,1,1,460,1442,982
733,1,0,26,0,-26
734,1,0,13,0,-13
735,1,1,618,1269,651
736,0,0,6,0,-6
737,0,0,43,0,-43
738,0,0,96,0,-96
739,0,0,37,0,-37
740,0,0,48,0,-48
741,0,0,112,0,-112
742,0,0,96,0,-96
743,0,0,19,0,-19
744,1,0,3,0,-3
745,1,1,551,1292,741
746,0,0,128,0,-128
747,1,0,3,0,-3
748,0,0,22,0,-22
749,1,0,20,0,-20
750,0,0,37,0,-37
751,1,1,524,1658,1134
752,1,0,76,0,-76
753,0,0,49,0,-49
754,1,1,53,2163,2110
755,0,0,19,0,-19
756,1,1,96,1601,1505
757,1,1,804,1315,511
758,0,0,14,0,-14
759,1,0,80,0,-80
760,1,0,241,0,-241
761,1,1,1106,1373,267
762,1,0,130,0,-130
763,1,0,45,0,-45
764,0,0,39,0,-39
765,1,0,17,0,-17
766,1,1,1164,1214,50
767,1,0,255,0,-255
768,0,0,45,0,-45
769,1,1,459,1977,1518
770,1,0,38,0,-38
771,0,0,130,0,-130
772,1,1,353,1278,925
773,1,0,36,0,-36
774,1,1,479,2306,1827
775,1,1,53,1756,1703
776,0,0,6,0,-6
777,1,0,35,0,-35
778,0,0,7,0,-7
779,1,0,67,0,-67
780,1,0,142,0,-142
781,0,0,29,0,-29
782,1,0,62,0,-62
783,0,0,105,0,-105
784,1,0,29,0,-29
785,0,0,146,0,-146
786,1,0,9,0,-9
787,1,0,43,0,-43
788,1,0,36,0,-36
789,0,0,3,0,-3
790,1,0,36,0,-36
791,0,0,35,0,-35
792,1,1,217,1228,1011
793,0,0,37,0,-37
794,1,1,1062,1368,306
795,0,0,41,0,-41
796,1,1,195,1528,1333
797,0,0,4,0,-4
798,0,0,14,0,-14
799,0,0,45,0,-45
800,1,1,362,1483,1121
801,1,1,357,1603,1246
802,1,1,213,1362,1149
803,0,0,40,0,-40
804,1,0,67,0,-67
805,1,0,37,0,-37
806,1,0,13,0,-13
807,1,1,92,1711,1619
808,1,1,123,1257,1134
809,0,0,52,0,-52
810,1,0,34,0,-34
811,1,1,515,1326,811
812,1,0,29,0,-29
813,1,0,4,0,-4
814,1,0,21,0,-21
815,1,0,36,0,-36
816,1,1,403,2251,1848
817,0,0,135,0,-135
818,1,1,239,1372,1133
819,0,0,186,0,-186
820,1,0,132,0,-132
821,1,1,660,1351,691
822,0,0,8,0,-8
823,0,0,35,0,-35
824,1,1,602,1431,829
825,1,0,152,0,-152
826,1,0,3,0,-3
827,0,0,18,0,-18
828,1,1,314,1251,937
829,1,1,373,1221,848
830,0,0,84,0,-84
831,1,1,194,1581,1387
832,0,0,38,0,-38
833,0,0,12,0,-12
834,0,0,14,0,-14
835,0,0,34,0,-34
836,1,1,250,1218,968
837,0,0,53,0,-53
838,1,1,859,2819,1960
839,0,0,38,0,-38
840,1,1,964,1276,312
841,0,0,39,0,-39
842,0,0,35,0,-35
843,1,0,21,0,-21
844,0,0,3,0,-3
845,0,0,53,0,-53
846,1,1,469,2531,2062
847,0,0,27,0,-27
848,1,0,13,0,-13
849,1,0,16,0,-16
850,0,0,26,0,-26
851,1,1,290,1584,1294
852,0,0,11,0,-11
853,1,1,458,1790,1332
854,0,0,18,0,-18
855,1,0,110,0,-110
856,0,0,87,0,-87
857,1,1,35,1885,1850
858,1,1,24,1211,1187
859,0,0,40,0,-40
860,1,1,125,1311,1186
861,0,0,85,0,-85
862,0,0,23,0,-23
863,0,0,7,0,-7
864,1,1,675,1267,592
865,1,1,403,1343,940
866,0,0,7,0,-7
867,1,1,1105,4347,3242
868,0,0,10,0,-10
869,1,0,131,0,-131
870,1,0,0,0,0
871,1,1,110,1271,1161
872,1,1,1233,1539,306
873,0,0,146,0,-146
874,1,0,2,0,-2
875,0,0,32,0,-32
876,1,0,53,0,-53
877,0,0,16,0,-16
878,1,1,211,1308,1097
879,1,0,146,0,-146
880,0,0,25,0,-25
881,0,0,37,0,-37
882,1,1,188,1682,1494
883,0,0,0,0,0
884,0,0,45,0,-45
885,0,0,4,0,-4
886,0,0,87,0,-87
887,1,0,13,0,-13
888,1,1,264,1302,1038
889,0,0,187,0,-187
890,0,0,27,0,-27
891,0,0,164,0,-164
892,0,0,166,0,-166
893,0,0,15,0,-15
894,0,0,5,0,-5
895,1,1,138,1420,1282
896,0,0,6,0,-6
897,1,0,91,0,-91
898,0,0,48,0,-48
899,0,0,56,0,-56
900,1,1,932,2563,1631
901,1,0,59,0,-59
902,1,0,18,0,-18
903,0,0,96,0,-96
904,1,0,58,0,-58
905,0,0,51,0,-51
906,1,1,980,1437,457
907,1,0,2,0,-2
908,0,0,0,0,0
909,0,0,4,0,-4
910,0,0,150,0,-150
911,1,0,108,0,-108
912,1,0,43,0,-43
913,0,0,1,0,-1
914,0,0,111,0,-111
915,1,1,295,1579,1284
916,0,0,68,0,-68
917,1,0,22,0,-22
918,1,0,87,0,-87
919,0,0,74,0,-74
920,1,0,42,0,-42
921,1,0,63,0,-63
922,1,0,252,0,-252
923,1,1,651,1458,807
924,1,0,24,0,-24
925,1,1,577,1262,685
926,1,0,30,0,-30
927,1,0,25,0,-25
928,1,1,753,3082,2329
929,0,0,73,0,-73
930,1,1,308,1269,961
931,0,0,18,0,-18
932,1,1,58,1315,1257
933,1,1,777,1274,497
934,1,1,1029,1219,190
935,1,1,208,1481,1273
936,1,0,1,0,-1
937,1,0,0,0,0
938,1,0,21,0,-21
939,0,0,26,0,-26
940,1,0,56,0,-56
941,1,1,219,1662,1443
942,1,0,9,0,-9
943,1,0,23,0,-23
944,0,0,12,0,-12
945,1,1,1022,1527,505
946,1,1,530,1817,1287
947,1,1,127,1372,1245
948,1,1,829,1337,508
949,1,1,134,1486,1352
950,1,1,354,1202,848
951,0,0,90,0,-90
952,1,0,40,0,-40
953,1,0,28,0,-28
954,1,1,258,1309,1051
955,0,0,69,0,-69
956,1,0,1,0,-1
957,1,1,619,1251,632
958,0,0,21,0,-21
959,1,1,1084,2258,1174
960,0,0,146,0,-146
961,0,0,8,0,-8
962,0,0,40,0,-40
963,1,1,441,1245,804
964,0,0,14,0,-14
965,1,1,803,1585,782
966,0,0,31,0,-31
967,1,0,213,0,-213
968,0,0,27,0,-27
969,1,0,26,0,-26
970,1,1,180,1272,1092
971,0,0,39,0,-39
972,1,0,3,0,-3
973,1,1,1091,1300,209
974,0,0,4,0,-4
975,1,1,548,1265,717
976,1,1,1326,2559,1233
977,1,1,500,1609,1109
978,0,0,59,0,-59
979,0,0,47,0,-47
980,1,1,751,1662,911
981,1,1,205,1329,1124
982,0,0,24,0,-24
983,0,0,90,0,-90
984,0,0,36,0,-36
985,1,1,725,1372,647
986,1,1,124,1568,1444
987,0,0,18,0,-18
988,1,1,312,1656,1344
989,1,1,190,1872,1682
990,1,0,59,0,-59
991,1,0,86,0,-86
992,0,0,137,0,-137
993,0,0,24,0,-24
994,1,0,3,0,-3
995,1,0,7,0,-7
996,0,0,4,0,-4
997,1,0,30,0,-30
998,1,0,15,0,-15
999,1,1,36,1573,1537
1000,1,0,57,0,-57
1001,0,0,82,0,-82
1002,0,0,51,0,-51
1003,0,0,22,0,-22
1004,0,0,29,0,-29
1005,0,0,38,0,-38
1006,0,0,85,0,-85
1007,1,1,182,1249,1067
1008,0,0,41,0,-41
1009,1,0,11,0,-11
1010,1,0,4,0,-4
1011,1,1,1357,1256,-101
1012,1,0,33,0,-33
1013,0,0,22,0,-22
1014,1,0,186,0,-186
1015,1,0,100,0,-100
1016,0,0,23,0,-23
1017,0,0,1,0,-1
1018,1,1,588,1543,955
1019,0,0,7,0,-7
1020,1,0,22,0,-22
1021,0,0,21,0,-21
1022,1,0,66,0,-66
1023,1,0,47,0,-47
1024,0,0,10,0,-10
1025,1,0,130,0,-130
1026,0,0,22,0,-22
1027,1,0,0,0,0
1028,0,0,34,0,-34
1029,1,0,12,0,-12
1030,0,0,14,0,-14
1031,1,0,50,0,-50
1032,0,0,38,0,-38
1033,1,1,1100,1465,365
1034,1,1,315,1373,1058
1035,1,0,15,0,-15
1036,0,0,40,0,-40
1037,1,0,59,0,-59
1038,1,1,445,1359,914
1039,1,1,948,1967,1019
1040,1,0,70,0,-70
1041,0,0,7,0,-7
1042,0,0,149,0,-149
1043,0,0,31,0,-31
1044,1,1,84,1663,1579
1045,0,0,30,0,-30
1046,1,1,64,1226,1162
1047,1,1,209,1231,1022
1048,0,0,10,0,-10
1049,0,0,26,0,-26
