ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
47,39,22789.802648085526,0.020434234172642847,0,1,0,0,-1
48,22,21535.348738137098,0.09681259050725505,1,311,5342,5589,10620
49,21,32566.75019774157,0.1594936132869018,0,17,0,0,-17
50,19,21185.51810461787,0.21013029464900213,1,284,6363,2274,8353
51,54,22425.817904539475,0.051134992737225826,0,54,0,0,-54
52,44,41787.45200596584,0.006105797073042968,1,379,12076,2662,14359
53,51,36767.710631354,0.07711056686915627,1,204,23399,2919,26114
54,23,34991.54768601062,0.25657836954542196,1,68,8571,2281,10784
55,21,20558.633863646424,0.029973739589531954,1,188,5380,2293,7485
56,30,28897.837978622883,0.2783287063453274,1,868,5321,4744,9197
57,73,23447.45869380973,0.19263240919904956,1,635,11207,3204,13776
58,25,84946.32305087395,0.0020702538474495183,1,227,6298,3469,9540
59,26,21077.21583982181,0.001428916194052378,1,298,5056,3149,7907
60,37,36690.378069329345,0.3355359798512959,1,1627,6671,2584,7628
61,20,22383.508616543753,0.03593750243562991,1,699,5304,2253,6858
62,66,56163.26245803066,0.11382085048655906,0,33,0,0,-33
63,25,24407.773287634798,0.12249728754403441,1,286,11208,2728,13650
64,57,39150.031324700045,0.23129031191110375,1,462,5278,2240,7056
65,23,20766.91957712511,0.1474724102740298,1,824,5805,2820,7801
66,45,24014.259109445702,0.1087704352778234,0,32,0,0,-32
67,19,49557.28689991058,0.5356827309416657,0,10,0,0,-10
68,62,27774.382448869335,0.08763575440634147,1,438,7914,3363,10839
69,58,26274.744066727013,0.03855671332767333,1,666,6082,7796,13212
70,38,21396.901542223255,0.13061883038558614,1,259,7042,3673,10456
71,63,68854.0882452289,0.13330027638915218,0,38,0,0,-38
72,19,23437.78807087694,0.08726937934936688,1,844,6447,2416,8019
73,53,28040.44014409549,0.20693867157807713,0,7,0,0,-7
74,46,33829.58552161062,0.019152199457998658,1,1254,5799,2483,7028
75,37,26684.909630279304,0.04655932948826258,1,3295,12194,2362,11261
76,49,34637.642392726135,0.18885635590615085,0,123,0,0,-123
77,70,38970.859008963496,0.2929290729297883,1,149,11891,2299,14041
78,56,20620.451424515308,0.17775817613332837,1,263,7594,3623,10954
79,35,32761.072044262986,0.05528006542262424,1,476,15455,2374,17353
80,45,21660.51043911917,0.17956493075012098,1,687,20996,2652,22961
81,52,24263.70156603393,0.04451425592297631,1,88,6017,2464,8393
82,52,23276.01389615027,0.1782419502050368,1,1676,5006,4983,8313
83,57,30891.515607731202,0.06785657339593297,1,348,7492,2366,9510
84,43,20356.2743296898,0.1385364227338547,1,302,8436,4520,12654
85,21,28731.079847939247,0.22738745880391115,1,477,7188,4096,10807
86,34,21454.987714442846,0.022241525893395144,1,1083,4738,2296,5951
87,30,32269.632842556894,0.36739071076038465,0,19,0,0,-19
88,39,27199.894492984295,0.07768817386897252,1,889,5753,2310,7174
89,50,28041.38407101669,0.24014620268708067,1,434,7141,4845,11552
90,28,22508.14425689085,0.006775615745571418,1,532,5478,2346,7292
91,26,23079.669419710877,0.042601430038277426,0,9,0,0,-9
92,23,20524.5326423466,0.08091061435727816,1,285,7225,2467,9407
93,26,78302.52616678129,0.10167712738753107,0,172,0,0,-172
94,56,21231.12955713965,0.058749144360403655,0,20,0,0,-20
95,59,24019.673536627124,0.07135220648512977,1,266,6452,2769,8955
96,29,32271.438200513894,0.12209975573134382,1,3623,5721,2465,4563
97,50,23475.803403240927,0.19485973039249135,1,35,5537,3621,9123
98,29,28487.862286425487,0.011518524914967862,1,1259,4979,7844,11564
99,73,34265.731453378154,0.02150348882663589,0,239,0,0,-239
100,68,26701.681161035536,0.05725750439661794,0,156,0,0,-156
101,18,36589.1850330717,0.3330832604104756,1,530,6076,2233,7779
102,42,21253.179130390647,0.12439514304239806,0,10,0,0,-10
103,19,53995.45293211319,0.111040924819871,0,38,0,0,-38
104,31,36275.99993301866,0.05550103464264537,1,421,5591,2276,7446
105,59,23736.807974976116,0.04510874535429946,1,835,11316,2330,12811
106,21,21911.905369753385,0.10546428463315248,1,62,6071,2319,8328
107,30,29646.992601340393,0.0304460933492936,1,701,5209,2569,7077
108,26,30059.442282915465,0.2476594609720131,0,28,0,0,-28
109,29,37700.900443024584,0.33068169041354983,1,220,5970,2231,7981
110,25,21647.869722696403,0.24477825401253298,1,1236,5210,2822,6796
111,37,36929.93247135685,0.17503159003671967,1,620,6293,2526,8199
112,24,24811.470056887047,0.09334698737450671,0,41,0,0,-41
113,42,23710.59952672251,0.07859486449558101,1,155,15042,2832,17719
114,20,23505.50321090994,0.1488719488848107,1,845,5714,2597,7466
115,38,20725.46818393157,0.08397806975728349,1,88,4961,2600,7473
116,56,53343.02256733956,0.023773921706724148,1,83,4921,3201,8039
117,29,21751.967757528368,0.09803491878254221,1,496,5486,2892,7882
118,51,24866.53132769396,0.09398431296387784,1,560,12742,2651,14833
119,57,25401.07968577398,0.25410611691390306,1,260,8122,2790,10652
120,28,20760.2310640345,0.07638265090522663,1,870,7080,2250,8460
121,61,21060.422587037112,0.07983382950800975,1,334,5148,2543,7357
122,23,20657.046076330924,0.03809373738045094,0,30,0,0,-30
123,23,24281.084391678178,0.07888688839259128,1,847,9635,2840,11628
124,40,35656.63311648434,0.19060679844558065,1,78,7832,3963,11717
125,57,25889.357887143633,0.07998300041373989,1,573,8809,2402,10638
126,35,36668.87812389552,0.09767949194305264,1,458,4846,3164,7552
127,59,20110.028442579547,0.16438996305456985,1,450,5853,3773,9176
128,18,22484.482200526647,0.23645790862700067,1,609,7709,2997,10097
129,33,36024.041208148694,0.20116330310779956,0,13,0,0,-13
130,19,31278.483466677582,0.36073284540588446,0,62,0,0,-62
131,34,35208.555326678186,0.31731343243474935,1,330,7385,2838,9893
132,56,23368.527709378282,0.0812958021752736,1,608,5128,2787,7307
133,25,20575.472804344063,0.041867581580292815,0,52,0,0,-52
134,22,21508.12880583472,0.0326097912124465,1,613,5215,2614,7216
135,20,30829.055700735185,0.0035238432434202133,1,453,7922,5984,13453
136,32,20510.37212350245,0.11249989768667232,0,67,0,0,-67
137,72,26412.092612257587,0.4784687016408591,0,11,0,0,-11
138,28,23028.46008271694,0.06370466838762272,1,2212,5516,3022,6326
139,21,39458.58957320634,0.03478050302972307,1,73,4734,2946,7607
140,43,20308.193207012824,0.17300079738352372,1,1164,4787,2275,5898
141,20,23664.32948098283,0.1222614185200383,1,180,5892,2338,8050
142,26,20788.370423373875,0.1088017408203952,0,33,0,0,-33
143,30,23429.48279157143,0.24665494063749965,1,77,4910,2373,7206
144,18,27868.92855816114,0.19808305099392864,0,83,0,0,-83
145,58,29317.131792570613,0.03691674664019532,1,561,4968,2857,7264
146,51,22699.898080780153,0.05758070022699184,0,33,0,0,-33
147,52,30692.298271680214,0.026725532652310178,1,1241,10329,2851,11939
148,31,24723.377273809674,0.1742804724673397,1,582,5056,3803,8277
149,23,20098.39274491749,0.15245865797211725,0,229,0,0,-229
150,27,21369.718422505946,0.047871335381793494,1,105,6128,5979,12002
151,42,24214.384426380737,0.37905942706077594,1,670,6153,2755,8238
152,29,61038.63612175789,0.007409517293234979,1,121,42745,7303,49927
153,38,20153.0801105569,0.22796585334889993,0,58,0,0,-58
154,55,26443.42338458367,0.08918782565546415,1,362,5305,2582,7525
155,61,25389.740129216225,0.0963653718381141,0,8,0,0,-8
156,26,21989.951488533035,0.015340549667336058,1,354,5454,8501,13601
157,18,22410.59910743115,0.19472752482281142,1,991,4718,3301,7028
158,21,20543.02974638542,0.4081775349900823,1,108,6101,3433,9426
159,69,20497.476666487728,0.12535934110192742,1,113,4856,3473,8216
160,30,21601.04404350821,0.04749100055163743,1,151,5194,4335,9378
161,47,21440.038668926787,0.028878632008076603,1,982,5543,2862,7423
162,38,30123.41317276517,0.04183223392571126,1,103,5591,2367,7855
163,20,24338.619459422986,0.27620348468945727,1,94,5049,2830,7785
164,18,20236.750280886503,0.08046089274397758,1,576,5884,2983,8291
165,20,55701.06671992605,0.35839367394706795,1,124,11325,2300,13501
166,39,25909.943936430405,0.394879292519023,0,18,0,0,-18
167,42,27680.688381934102,0.13336725513135775,1,431,5966,3022,8557
168,34,27861.30207426394,0.15149235231281805,1,1623,12172,4659,15208
169,70,33882.71591809925,0.09514670678635015,1,49,12556,3207,15714
170,58,20160.859841378377,0.1603616594522876,1,155,7606,3471,10922
171,23,31694.06812426089,0.011904740189786609,1,353,6799,5507,11953
172,23,40906.247139230596,0.0917883442286638,1,687,4976,2234,6523
173,73,28746.84337978337,0.06293887709418618,1,83,6882,2954,9753
174,29,23652.144730908505,0.16823587874953708,0,72,0,0,-72
175,68,24851.979244011545,0.20501870277746256,1,1704,6332,2291,6919
176,74,23836.201455850707,0.0032556137333393264,1,52,6847,3110,9905
177,46,60403.2810750769,0.09322308515516953,1,213,8887,4126,12800
178,37,29502.865717625566,0.22781545364953176,1,975,7756,2836,9617
179,44,26634.21754879381,0.0031451940032631424,1,388,16887,4339,20838
180,68,22902.349987657388,0.0800498326724441,0,26,0,0,-26
181,26,26032.847888127453,0.14122217538207005,0,9,0,0,-9
182,18,25854.479086282565,0.1403752675936272,1,108,5425,4919,10236
183,22,38138.46989634591,0.15606939918061138,1,379,6090,3934,9645
184,19,27049.78797492413,0.39507323421934953,0,4,0,0,-4
185,30,22023.834282363794,0.09069718635595447,1,1018,7490,4914,11386
186,68,34411.600810396325,0.08703180188885046,1,1249,6646,2869,8266
187,47,38503.19501297839,0.030396970790282155,0,36,0,0,-36
188,55,71530.08989819504,0.0806781078587155,1,1271,6002,8972,13703
189,39,24253.706377541712,0.2152079893931397,0,16,0,0,-16
190,61,25100.97437119749,0.015151267441476223,1,621,13110,2610,15099
191,44,22369.124799125177,0.15593348936012266,0,54,0,0,-54
192,29,40106.623128728235,0.08751865306180802,1,171,6720,6562,13111
193,66,26185.274549768386,0.026004900825148468,0,26,0,0,-26
194,39,22068.408025117475,0.14466826152180784,1,101,7124,3041,10064
195,75,22513.0548726203,0.013897833453353275,1,311,8796,2415,10900
196,23,26762.481640091268,0.018867055188335865,1,876,8430,2896,10450
197,70,21821.930734637495,0.00632281010990192,1,284,6928,5079,11723
198,19,25878.212447405127,0.04478118993718232,1,44,5321,2493,7770
199,31,31041.998619648726,0.021967978977426923,1,41,10842,3303,14104
200,33,34529.45930956609,0.22862192254414013,0,7,0,0,-7
201,38,21896.956086244703,0.027204282501265754,1,115,16577,2566,19028
202,20,49135.035331911175,0.03974492830849799,1,633,6515,2364,8246
203,18,22342.822725797698,0.1707657591252264,1,73,5093,2400,7420
204,59,30873.95165852005,0.28213199052459376,1,3499,10151,2694,9346
205,54,62421.04236415868,0.03018156732334189,1,157,14795,20071,34709
206,63,21493.759401411116,0.10607811802951363,1,249,9052,2524,11327
207,18,48634.895780475825,0.33351983174275396,1,419,5322,2780,7683
208,40,30362.148116148237,0.014688318157426456,1,82,5993,3292,9203
209,46,46100.24103285454,0.07878945976992559,1,140,9023,7527,16410
210,24,25755.862498609968,0.0967777576041747,0,90,0,0,-90
211,60,51884.423353284415,0.1920377275830646,1,49,43504,2284,45739
212,22,28798.732369278736,0.07518301647078539,1,179,8253,2262,10336
213,32,25246.963417880874,0.0532646049738275,1,208,4754,2613,7159
214,34,26065.08898901109,0.47799403759491316,1,866,5985,5616,10735
215,24,21026.35439344012,0.23746478803302526,0,116,0,0,-116
216,59,35853.21668932296,0.0469894462121979,0,15,0,0,-15
217,51,21180.643717187344,0.04402031110383016,1,458,7017,3265,9824
218,41,20677.681866963543,0.1290024887473906,0,2,0,0,-2
219,29,36936.839459482646,0.4071488971643388,0,36,0,0,-36
220,41,20982.25621163957,0.032821175805654676,1,142,9825,2896,12579
221,61,20378.470858189496,0.26554346743975277,1,85,5977,2731,8623
222,25,26585.259218056563,0.21762986874631388,1,194,4818,4251,8875
223,19,24597.647401134127,0.0609704756580073,1,59,6511,2301,8753
224,73,20628.27068239038,0.37657403949775886,0,29,0,0,-29
225,42,22151.534263972826,0.28202789247039506,1,578,12821,2342,14585
226,74,22325.132063092402,0.16732768252292754,1,271,8593,2714,11036
227,70,22844.899060929667,0.0009898231664976045,1,523,4925,4758,9160
228,72,24782.55350662135,0.0982127359138687,1,421,5370,3516,8465
229,41,30091.654689097682,0.20467741530488157,1,746,6502,2343,8099
230,45,31541.780363542428,0.16765813862968632,1,402,5970,3134,8702
231,47,21336.741266602014,0.14267132093914034,1,804,6079,3725,9000
232,62,21324.62147742604,0.42419055071596445,0,43,0,0,-43
233,49,40575.33302635838,0.16156886461930162,1,1845,7204,2656,8015
234,66,28640.230161307478,0.12012058226441896,1,572,9473,2366,11267
235,26,39627.27677473815,0.10152745913096316,1,875,5257,4199,8581
236,20,41004.23957642319,0.22589271053282495,1,72,51657,2612,54197
237,29,23035.656440220293,0.09279137740880408,1,1299,5773,3440,7914
238,51,33176.305860132656,0.08414449122826868,1,410,12278,2648,14516
239,27,25797.90062800173,0.09663207193986484,1,1052,8661,3760,11369
240,18,20957.62502670553,0.142122449653814,0,42,0,0,-42
241,20,35004.14615623245,0.03926362142958235,1,370,4854,4589,9073
242,36,21095.767395350533,0.1371582079565729,1,15,7222,2323,9530
243,20,29150.743803395566,0.19800623389607175,0,102,0,0,-102
244,67,21687.82342285176,0.13581180385896163,0,13,0,0,-13
245,63,21782.000803207793,0.43461401590809035,0,11,0,0,-11
246,44,31236.722084352314,0.15760568659770313,1,192,8083,2727,10618
247,21,20876.068946424362,0.534031851559731,1,499,7707,2266,9474
248,30,43692.234995225386,0.13068386369318674,1,29,8621,2450,11042
249,36,21357.09939180597,0.09205156413205677,1,330,5877,2286,7833
250,24,46220.266766240966,0.20509293639041518,1,211,6994,2403,9186
251,73,23341.2841287399,0.24611182936839993,1,291,5430,2239,7378
252,47,27891.789045030106,0.19737256565783431,1,113,14204,2872,16963
253,22,20433.689075452858,0.02407515759613558,0,11,0,0,-11
254,18,21713.12673050374,0.05060234854877048,1,247,4955,3873,8581
255,38,21317.287990805038,0.047331025645819945,1,274,6878,12837,19441
256,47,20938.774619450807,0.4475788152326625,0,1,0,0,-1
257,21,28625.700143239104,0.02740429609579139,1,331,8644,2254,10567
258,22,30655.747568057435,0.06094522979868604,1,818,11171,5229,15582
259,53,24143.328333487592,0.026065496283196286,1,395,6315,2720,8640
260,29,25257.09367861479,0.05381169323682048,1,1611,9633,2570,10592
261,75,109628.12792303023,0.35216114806701004,1,360,8087,2391,10118
262,56,24193.222625689494,0.16156428371312237,0,64,0,0,-64
263,19,38338.855806487896,0.1604589053514949,1,53,11087,2319,13353
264,62,21390.932372168016,0.10587044669184978,0,15,0,0,-15
265,68,38906.344837167184,0.026027763679086758,1,2308,5614,4516,7822
266,53,31506.203675264835,0.12581968343629524,1,2576,5239,2565,5228
267,18,28731.4902022983,0.23559510313223622,1,378,5598,3942,9162
268,52,24567.717029730717,0.10412699702341502,1,544,11018,2391,12865
269,72,30827.170690599974,0.11344187005105962,1,105,5004,2366,7265
270,31,20293.15376124382,0.011991064808109164,1,1919,10346,3125,11552
271,71,25299.47775004916,0.4147230231999349,1,395,5282,2590,7477
272,74,22211.681132628823,0.4500421066645556,1,164,20179,2308,22323
273,55,61797.29075383446,0.317290185466418,0,11,0,0,-11
274,22,46212.91837847365,0.02389582870788858,1,173,8921,2393,11141
275,40,22885.053254527716,0.1658485482472238,1,70,7578,3428,10936
276,68,33017.589492454055,0.20387923321929394,1,708,7326,2513,9131
277,41,40233.65209153126,0.05534528252140292,1,430,6463,9368,15401
278,31,24468.5428497685,0.0942633432818776,1,756,8493,2840,10577
279,74,26133.007554684275,0.13790445514375146,0,13,0,0,-13
280,69,20526.164407059918,0.13259570168123555,1,491,6763,3258,9530
281,72,40823.478756178,0.07590706373544254,1,107,7188,2276,9357
282,32,28541.143146618742,0.2714905798016609,0,52,0,0,-52
283,56,23557.692252992925,0.04885693272427924,0,80,0,0,-80
284,25,20084.494181180533,0.049453405565445224,0,17,0,0,-17
285,60,21036.04674577183,0.05051356095564962,1,338,4844,2436,6942
286,20,26530.7651002596,0.0015479930457387664,0,40,0,0,-40
287,70,21281.543228999468,0.06836754295983205,0,19,0,0,-19
288,24,22716.801733750388,0.11659757277696292,1,522,6518,3022,9018
289,62,21543.525954961384,0.1711660048680037,1,243,5243,2426,7426
290,26,22075.053005094567,0.018905740749605687,1,1044,5517,2267,6740
291,28,23813.00627103345,0.051512901652661126,1,157,14977,6344,21164
292,34,20471.77393399334,0.06765969564654561,1,310,8329,28165,36184
293,23,20123.515350493493,0.6578694744480704,0,42,0,0,-42
294,23,27981.2239881205,0.14609876394511664,1,572,23259,2707,25394
295,33,35293.513424775876,0.05045790521642661,1,77,6417,2299,8639
296,30,31736.070214461164,0.19945622158649728,1,241,9721,2465,11945
297,24,22557.99636632719,0.050595692482564736,1,811,4974,2409,6572
298,34,24556.111258566856,0.08013623628471792,1,383,6776,5526,11919
299,38,37222.87834137403,0.09571110177469112,0,88,0,0,-88
300,21,21149.530399192805,0.41730581311995335,0,30,0,0,-30
301,59,22245.05285812088,0.0348736729659603,1,451,6769,2626,8944
302,28,38972.20398547096,0.07874457960884561,1,87,7331,2514,9758
303,47,21483.39084506365,0.06972831782990718,0,15,0,0,-15
304,24,27025.607967291955,0.07417875787297454,1,120,7060,2625,9565
305,39,56564.630851337475,0.09815781364326492,1,188,7872,3741,11425
306,21,20296.678366640976,0.08928999574066623,1,219,9017,2770,11568
307,18,24689.821569288382,0.10844986382984455,1,934,5743,3460,8269
308,64,25822.27688909923,0.11948964524996758,1,221,9345,2869,11993
309,67,27594.426007264396,0.09090017750515578,1,461,8500,2313,10352
310,46,26526.00375033452,0.020425726435070887,1,13,7794,3720,11501
311,48,50384.53761758702,0.13975062171465838,1,195,5599,2879,8283
312,29,36322.356394525574,0.32873669973586134,1,2127,8707,4245,10825
313,18,23559.730171936786,0.022575946534631665,1,181,8136,3609,11564
314,47,38406.038673796604,0.08848861578517589,1,679,7958,3088,10367
315,24,52390.335003571985,0.1380931883208121,1,1130,5295,3403,7568
316,27,34359.83918208488,0.05340344703357613,1,1260,6968,3294,9002
317,27,20127.44909056994,0.06279366088494509,1,286,5257,4795,9766
318,25,23770.840145929622,0.06665008178478497,1,302,5437,4034,9169
319,50,37278.95554635239,0.17786808888609326,1,236,5993,3226,8983
320,30,47331.010791079716,0.15004887310599588,1,130,5452,2384,7706
321,22,20565.110993875376,0.1771142258173216,1,1705,6052,2326,6673
322,41,24613.83854153102,0.08555806581663379,1,441,5153,4044,8756
323,32,20521.73773016594,0.05518312832653427,0,24,0,0,-24
324,20,21479.718445835242,0.20891705609583477,1,204,5711,3438,8945
325,54,26013.80323884652,0.01603634029489135,1,140,5339,2284,7483
326,19,21743.713429350224,0.028613805158450495,1,137,10256,3296,13415
327,44,25061.312907742296,0.19066129317911912,1,1213,10705,2490,11982
328,27,32906.215705399314,0.21983783280011837,0,10,0,0,-10
329,26,35168.01912295508,0.0012285026959682438,1,222,5357,4090,9225
330,30,31050.751039410072,0.04367927253106171,1,860,6695,5345,11180
331,33,28054.010937110837,0.1033408447894004,0,28,0,0,-28
332,18,74198.98674769833,0.04878334061825488,1,352,6266,8557,14471
333,24,23945.46486097277,0.7155591587600767,1,2065,15138,2322,15395
334,25,20044.49553702994,0.2661382195641446,1,152,8023,3351,11222
335,59,24202.521603464204,0.04578898501306153,1,189,23366,2789,25966
336,28,29751.442992677985,0.1823848572449757,1,698,6391,2914,8607
337,18,33706.922853847944,0.040261612845448436,1,108,7706,2341,9939
338,31,36911.7848080479,0.18122925060234063,1,408,21124,3845,24561
339,18,30380.178344421714,0.11768067535896844,0,14,0,0,-14
340,55,26751.467873666228,0.26656881453417575,0,3,0,0,-3
341,52,24353.047662390753,0.5590079462437259,1,201,5541,3272,8612
342,29,20304.831402530275,0.1247973327593246,1,1003,5948,3045,7990
343,49,35891.26654972676,0.004014103148305139,1,1086,4948,2283,6145
344,41,21809.879270189413,0.1314483071883048,1,505,8043,4068,11606
345,42,26881.656640106597,0.06714927863036162,1,503,4965,2629,7091
346,32,23134.885962443794,0.08153447286459341,1,24,5689,2590,8255
347,40,101257.3550258193,0.021685397093773096,1,377,19703,2357,21683
348,42,20367.26124820805,0.07863098234140475,1,417,7753,2507,9843
349,20,20079.810399451966,0.08093482065136537,1,150,9472,4062,13384
350,39,29648.028076162795,0.1745619737164459,0,0,0,0,0
351,71,55673.9917742503,0.12628138698375713,1,2405,6810,4374,8779
352,20,22455.58490844438,0.26384084203835845,0,66,0,0,-66
353,56,28214.550076620424,0.005969707196009857,1,642,6727,10390,16475
354,57,35054.0161442526,0.043468736799415354,1,1587,4745,2356,5514
355,20,23291.714791726252,0.28551420901950664,1,289,5256,2897,7864
356,43,56414.48126178571,4.1836988458080046e-05,1,1198,7567,2385,8754
357,53,31315.772095542863,0.13177742645751514,0,109,0,0,-109
358,19,20999.08564739468,0.1744343954399226,1,782,7839,3614,10671
359,74,21814.38685767815,0.1077668795024868,1,734,5110,2933,7309
360,47,22377.658938770848,0.12083650444371241,1,1079,4793,2943,6657
361,22,22269.962753219494,0.23287451508154716,0,25,0,0,-25
362,22,25421.440711327807,0.1258243293445039,1,388,26717,2645,28974
363,24,20227.826480664342,0.45890591635044803,0,26,0,0,-26
364,21,22956.908462183197,0.13698698287039796,0,24,0,0,-24
365,70,22845.78574128656,0.03204508117854451,1,452,21837,3778,25163
366,20,23110.739392897864,0.2544881964365781,1,1287,5225,2557,6495
367,36,29292.603950140277,0.12366997453001616,1,567,11319,3106,13858
368,30,22282.041972107938,0.04058724695720945,1,539,7265,2446,9172
369,63,20550.589755342426,0.08823333865280797,1,725,8201,3810,11286
370,46,33661.497861484924,0.13819233163043296,0,116,0,0,-116
371,28,38972.871298074875,0.22117159181565282,1,1095,5723,3372,8000
372,18,43246.00019170309,0.1589404078020333,0,31,0,0,-31
373,18,20446.05105014178,0.05152399976815882,0,57,0,0,-57
374,57,25839.347629686334,0.012653145549535106,1,243,7924,2256,9937
375,23,27421.01697840154,0.22237765998033068,1,1074,4898,2602,6426
376,32,21089.96480329314,0.06159031171465471,1,227,7580,2484,9837
377,51,22069.850950493666,0.4317216948338797,0,41,0,0,-41
378,34,24566.96497675136,0.6193346729365989,1,117,6013,2595,8491
379,63,47941.35510485135,0.054397748290153876,1,517,15346,2665,17494
380,43,21505.45286751019,0.12144586638739659,1,531,5338,2432,7239
381,44,20863.75319227459,0.08051705409652986,1,171,8430,2375,10634
382,73,38475.84645452317,0.33029625922140515,1,1289,26307,5034,30052
383,35,25739.274844057105,0.16456343243252317,1,1474,8259,3106,9891
384,43,25013.95959397369,0.028768124236647916,1,193,7529,3176,10512
385,23,24102.62042801841,0.030217618585472984,1,219,5110,3974,8865
386,49,21794.600855315326,0.3964734903206007,0,48,0,0,-48
387,42,23289.771205048542,0.00566071873799357,1,246,6408,3551,9713
388,43,27771.258099921164,0.04571250241985025,1,185,18211,2757,20783
389,18,79515.81892393727,0.17978085703532495,1,274,4997,2243,6966
390,48,20743.00811593913,0.03565849113873078,1,449,9470,11596,20617
391,21,23192.395975630727,0.024077704364240688,1,883,13383,2991,15491
392,19,37825.39220735079,0.24455669537481786,1,490,7470,3845,10825
393,60,21704.372779020006,0.045425554905485575,1,354,6386,2483,8515
394,23,20576.65591777443,0.08423738453658597,0,3,0,0,-3
395,50,23569.091839471213,0.019022876429187992,0,3,0,0,-3
396,65,28451.03399011209,0.0901445417991953,1,1391,10795,2515,11919
397,18,28885.255702118135,0.009685798492356847,0,33,0,0,-33
398,29,33336.13032465074,0.19031197161507776,1,178,4757,2633,7212
399,19,25080.9124875845,0.007361918093505348,1,512,4830,2374,6692
400,18,30890.690903639166,0.10117757232416377,1,463,11576,2549,13662
401,73,32006.47316153699,0.34062367193909415,0,99,0,0,-99
402,48,23646.527290899874,0.28934908003272525,0,73,0,0,-73
403,69,33768.789141680514,0.23066110090041614,0,14,0,0,-14
404,19,24812.077260547052,0.016821130192699037,1,342,5650,2781,8089
405,38,25705.375967476506,0.10858604709908536,0,108,0,0,-108
406,18,23355.59370212372,0.07227265357985337,1,757,6207,2464,7914
407,38,22590.317829400185,0.3746792412004554,1,261,9609,2791,12139
408,54,23834.598188482796,0.051148464344875195,1,1994,5554,2334,5894
409,26,32784.66156270861,0.1158776522493199,1,153,13243,2895,15985
410,67,24293.24976328543,0.21502232706052216,0,24,0,0,-24
411,19,23913.015225923224,0.05297619635326839,1,816,6090,3093,8367
