"client_rk","visit_dttm","account_rk","registration_dttm","application_rk","game_rk","application_dttm","game_dttm","game_flg","finish_flg","games_played","games_finished"
1408,2022-10-30 21:36:20.709,,,,,,,,,,
1424,2022-09-30 07:17:33.700,,,,,,,,,,
1440,2022-09-23 23:25:41.870,163,2022-09-24 11:50:15.686,,,,,,,,
1456,2023-01-24 11:00:43.384,723,2023-01-24 13:47:57.398,363,196,2023-01-25 06:42:52.180,2023-01-31 07:44:01.201,1,1,1,1
1456,2023-01-24 11:00:43.384,723,2023-01-24 13:47:57.398,467,171,2023-01-25 11:28:50.555,2023-03-16 23:34:09.224,0,0,1,1
1472,2022-10-25 04:51:50.455,,,,,,,,,,
1488,2022-10-30 14:59:52.036,,,,,,,,,,
1504,2023-01-20 07:48:59.235,423,2023-01-20 20:11:07.350,,,,,,,,
1520,2022-11-11 02:35:43.176,,,,,,,,,,
1541,2022-12-05 05:27:07.691,94,2022-12-05 20:22:09.253,,,,,,,,
1557,2022-12-28 22:25:12.370,753,2022-12-29 18:45:14.245,473,38,2023-01-11 23:08:57.139,2023-03-12 05:23:52.073,0,0,0,0
1557,2022-12-28 22:25:12.370,753,2022-12-29 18:45:14.245,461,431,2023-01-11 20:12:19.766,2023-03-01 01:45:48.902,0,0,0,0
1573,2022-09-22 01:04:38.270,129,2022-09-22 22:47:57.816,,,,,,,,
1589,2023-01-19 20:56:50.714,,,,,,,,,,
1605,2022-10-11 20:43:34.920,,,,,,,,,,
1621,2023-01-14 07:07:16.654,,,,,,,,,,
1637,2022-10-05 04:31:47.869,,,,,,,,,,
1653,2022-11-10 07:35:54.597,,,,,,,,,,
1669,2023-01-18 05:49:39.132,,,,,,,,,,
1685,2022-09-04 15:46:14.825,656,2022-09-05 11:53:46.741,,,,,,,,
1701,2022-11-26 13:38:28.578,,,,,,,,,,
1717,2022-10-19 04:13:35.190,,,,,,,,,,
1733,2022-09-15 08:31:27.830,,,,,,,,,,
1749,2023-01-14 05:03:36.429,,,,,,,,,,
1765,2022-12-21 02:22:58.691,,,,,,,,,,
1781,2022-10-29 10:24:15.971,676,2022-10-29 14:50:55.439,300,304,2022-11-06 22:17:14.439,2022-12-07 23:15:08.740,1,0,1,0
1802,2022-10-25 03:18:01.800,,,,,,,,,,
1818,2023-01-12 11:51:00.133,90,2023-01-12 15:46:57.657,,,,,,,,
1834,2022-11-03 00:55:48.994,,,,,,,,,,
1850,2023-01-17 23:50:59.974,230,2023-01-18 06:49:53.127,,,,,,,,
1866,2022-11-17 10:46:04.600,257,2022-11-18 03:26:37.197,,,,,,,,
1882,2022-11-09 12:42:57.867,,,,,,,,,,
1898,2022-12-11 19:30:24.294,,,,,,,,,,
1914,2022-12-19 09:44:14.441,,,,,,,,,,
1930,2022-09-07 02:12:56.452,,,,,,,,,,
1946,2022-12-30 22:06:31.823,,,,,,,,,,
1962,2023-01-21 16:17:51.491,84,2023-01-22 06:56:27.813,,,,,,,,
1978,2022-11-10 03:41:48.399,,,,,,,,,,
1994,2022-11-15 05:09:46.087,279,2022-11-15 09:43:44.740,,,,,,,,
2010,2023-01-18 23:49:28.095,,,,,,,,,,
2026,2023-01-06 18:50:07.165,,,,,,,,,,
2042,2022-11-17 15:17:26.980,,,,,,,,,,
2063,2022-12-28 16:04:30.406,,,,,,,,,,
2079,2023-01-26 11:09:24.924,,,,,,,,,,
2095,2022-10-18 10:11:24.966,226,2022-10-18 19:35:57.117,,,,,,,,
2111,2022-11-01 02:02:02.017,,,,,,,,,,
2127,2022-11-04 20:07:36.062,,,,,,,,,,
2143,2022-11-01 14:04:15.443,,,,,,,,,,
2159,2023-01-10 01:27:21.917,,,,,,,,,,
2175,2022-10-26 14:32:35.066,,,,,,,,,,
2191,2022-09-22 18:47:08.918,,,,,,,,,,
2207,2022-09-18 05:49:59.328,,,,,,,,,,
2223,2022-12-12 13:45:59.459,,,,,,,,,,
2239,2022-09-12 12:37:35.083,,,,,,,,,,
2255,2022-12-06 14:24:10.940,,,,,,,,,,
2271,2023-01-06 22:34:04.288,,,,,,,,,,
2287,2022-12-15 10:46:20.186,,,,,,,,,,
2303,2022-09-07 01:48:14.423,,,,,,,,,,
2308,2022-09-28 10:30:54.779,467,2022-09-28 11:18:24.448,,,,,,,,
2324,2022-12-10 13:03:59.697,1018,2022-12-10 22:53:31.519,,,,,,,,
2340,2022-10-28 19:35:54.515,1021,2022-10-29 13:06:22.418,,,,,,,,
2356,2022-11-04 00:29:32.793,913,2022-11-04 22:52:51.031,,,,,,,,
2372,2023-02-01 20:01:32.008,,,,,,,,,,
2388,2022-09-26 20:22:49.291,,,,,,,,,,
2404,2022-12-12 10:46:55.739,,,,,,,,,,
2420,2022-12-19 15:18:42.462,,,,,,,,,,
2436,2023-01-23 06:48:39.445,,,,,,,,,,
2452,2022-12-31 02:33:19.241,23,2022-12-31 16:11:52.366,,,,,,,,
2468,2023-01-15 01:51:20.283,,,,,,,,,,
2484,2022-09-30 20:34:46.758,122,2022-10-01 18:04:08.784,,,,,,,,
2500,2022-11-20 15:06:53.127,,,,,,,,,,
2516,2023-01-07 22:12:15.738,760,2023-01-08 00:37:03.177,231,120,2023-01-17 16:41:38.351,2023-02-09 03:48:03.006,0,0,0,0
2532,2023-01-05 09:22:47.086,,,,,,,,,,
2548,2022-12-12 06:42:58.042,,,,,,,,,,
2569,2022-10-09 21:34:18.732,,,,,,,,,,
2585,2022-10-11 10:53:14.840,,,,,,,,,,
2601,2022-10-31 21:00:59.226,,,,,,,,,,
2617,2022-12-18 18:04:23.757,,,,,,,,,,
2633,2022-09-16 20:22:37.854,,,,,,,,,,
2649,2023-01-28 16:52:37.552,,,,,,,,,,
2665,2022-09-18 16:45:42.090,,,,,,,,,,
2681,2022-11-16 01:29:56.732,,,,,,,,,,
2697,2022-11-13 06:05:39.037,,,,,,,,,,
2713,2022-11-16 02:41:19.093,,,,,,,,,,
2729,2022-12-24 05:24:51.144,,,,,,,,,,
2745,2023-01-04 22:39:06.475,,,,,,,,,,
2761,2022-12-22 11:29:54.293,514,2022-12-22 19:58:13.053,423,373,2023-01-04 16:12:40.535,2023-02-08 14:13:27.587,0,0,0,0
2777,2022-10-07 01:59:09.581,,,,,,,,,,
2793,2022-12-13 03:48:21.130,618,2022-12-13 12:56:43.335,269,377,2022-12-28 04:52:44.866,2023-01-03 02:00:54.690,1,1,1,1
2809,2023-01-29 21:14:40.064,,,,,,,,,,
2830,2022-12-28 04:29:49.069,,,,,,,,,,
2846,2022-12-12 07:03:29.614,,,,,,,,,,
2862,2023-01-27 13:42:43.795,,,,,,,,,,
2878,2022-11-19 03:59:29.050,,,,,,,,,,
2894,2022-11-07 00:32:06.532,,,,,,,,,,
2910,2023-01-20 14:26:09.829,,,,,,,,,,
2926,2022-10-31 03:09:08.586,,,,,,,,,,
2942,2022-12-17 05:58:04.237,,,,,,,,,,
2958,2022-10-12 09:25:57.220,758,2022-10-12 10:03:32.469,164,241,2022-10-15 08:57:11.476,2022-12-02 18:36:24.916,1,1,1,1
2958,2022-10-12 09:25:57.220,758,2022-10-12 10:03:32.469,377,327,2022-10-16 10:09:20.489,2022-11-26 02:37:06.112,0,0,1,1
2974,2023-01-13 02:43:32.009,,,,,,,,,,
2990,2022-10-02 13:17:36.608,,,,,,,,,,
3006,2023-01-23 08:53:34.957,,,,,,,,,,
3022,2023-01-15 07:43:21.249,,,,,,,,,,
3038,2022-12-14 18:33:05.128,,,,,,,,,,
3054,2022-11-11 21:37:57.042,,,,,,,,,,
3070,2022-11-16 06:45:36.473,,,,,,,,,,
3075,2022-10-21 15:50:19.107,869,2022-10-22 11:11:55.698,,,,,,,,
3091,2022-11-28 10:08:45.511,688,2022-11-28 18:01:07.614,401,285,2022-12-10 08:22:44.143,2023-01-08 06:45:55.414,1,1,1,1
3107,2022-12-09 11:15:12.809,,,,,,,,,,
3123,2023-01-11 19:03:59.374,,,,,,,,,,
3139,2022-12-09 21:04:43.347,,,,,,,,,,
3155,2022-09-28 13:55:02.573,852,2022-09-28 23:29:37.669,47,237,2022-10-13 17:09:52.008,2022-10-19 14:23:38.282,1,0,1,0
3171,2022-10-29 05:12:48.638,,,,,,,,,,
3187,2022-09-30 19:48:33.589,,,,,,,,,,
3203,2022-11-26 20:27:06.119,,,,,,,,,,
3219,2022-11-19 22:30:17.931,,,,,,,,,,
3235,2022-12-05 15:41:04.657,,,,,,,,,,
3251,2022-11-05 02:08:02.402,699,2022-11-05 06:31:39.560,98,376,2022-11-08 04:07:57.618,2022-11-22 05:35:28.119,1,1,2,1
3251,2022-11-05 02:08:02.402,699,2022-11-05 06:31:39.560,432,198,2022-11-10 12:41:45.162,2022-12-31 05:55:50.804,1,0,2,1
3267,2022-09-11 14:08:34.653,,,,,,,,,,
3283,2022-10-26 06:34:05.700,,,,,,,,,,
3299,2023-01-26 05:15:03.039,,,,,,,,,,
3315,2022-09-27 07:32:57.454,,,,,,,,,,
3336,2022-12-06 19:18:00.508,765,2022-12-07 01:41:27.604,,,,,,,,
3352,2022-11-07 23:21:58.237,,,,,,,,,,
3368,2022-12-18 03:04:59.061,,,,,,,,,,
3384,2023-01-30 10:35:46.955,,,,,,,,,,
3400,2022-09-04 09:42:19.280,,,,,,,,,,
3416,2022-09-05 18:48:29.689,,,,,,,,,,
3432,2023-01-15 10:28:00.008,,,,,,,,,,
3448,2022-11-01 05:31:44.595,,,,,,,,,,
3464,2022-12-25 16:21:06.633,,,,,,,,,,
3480,2023-01-18 23:41:13.111,,,,,,,,,,
3496,2022-11-22 06:55:42.841,,,,,,,,,,
3512,2022-11-30 05:30:00.334,,,,,,,,,,
3528,2022-09-24 07:45:44.934,,,,,,,,,,
3544,2022-09-27 19:23:07.173,,,,,,,,,,
3560,2022-12-13 03:57:40.075,,,,,,,,,,
3576,2022-12-10 10:03:34.085,,,,,,,,,,
3597,2022-12-17 17:39:12.093,,,,,,,,,,
3613,2023-01-16 05:39:36.370,343,2023-01-16 10:56:32.055,,,,,,,,
3629,2022-11-18 13:11:34.844,901,2022-11-19 02:43:54.570,,,,,,,,
4,2022-11-30 04:44:11.949,801,2022-12-01 00:58:56.483,75,22,2022-12-10 16:45:58.114,2022-12-14 12:04:00.773,1,1,2,2
4,2022-11-30 04:44:11.949,801,2022-12-01 00:58:56.483,369,240,2022-12-13 14:14:16.594,2023-01-02 05:14:31.462,1,1,2,2
20,2022-12-17 19:12:33.927,,,,,,,,,,
36,2022-09-30 22:58:27.223,,,,,,,,,,
52,2022-09-26 19:29:55.118,905,2022-09-27 02:24:50.189,,,,,,,,
68,2022-09-16 13:40:28.165,,,,,,,,,,
84,2022-10-29 10:07:05.505,,,,,,,,,,
100,2022-10-27 06:30:50.188,,,,,,,,,,
116,2023-01-25 23:12:49.541,,,,,,,,,,
132,2023-01-26 17:10:42.157,704,2023-01-27 08:33:13.995,226,246,2023-01-27 15:24:11.212,2023-03-07 20:43:18.266,0,0,0,0
132,2023-01-26 17:10:42.157,704,2023-01-27 08:33:13.995,121,170,2023-01-28 08:26:13.195,2023-03-05 05:02:25.122,0,0,0,0
148,2023-01-02 19:41:22.632,,,,,,,,,,
164,2023-01-20 05:32:10.494,,,,,,,,,,
180,2023-01-18 17:42:35.682,51,2023-01-19 12:49:07.145,,,,,,,,
196,2022-10-13 18:58:28.984,,,,,,,,,,
212,2022-12-31 17:10:01.316,,,,,,,,,,
228,2023-01-03 22:01:07.405,,,,,,,,,,
244,2022-10-31 03:36:17.446,,,,,,,,,,
271,2023-01-24 23:42:28.248,,,,,,,,,,
287,2022-12-12 08:17:26.562,,,,,,,,,,
303,2022-12-19 05:42:05.136,,,,,,,,,,
319,2022-11-03 11:22:01.401,,,,,,,,,,
335,2022-10-24 22:09:07.909,752,2022-10-25 12:51:29.910,131,230,2022-11-02 22:41:03.383,2023-01-19 04:11:41.333,1,0,1,0
351,2022-10-09 10:50:20.271,,,,,,,,,,
367,2022-11-04 07:42:51.588,,,,,,,,,,
383,2022-12-12 23:19:12.079,1013,2022-12-13 06:09:29.795,,,,,,,,
399,2023-01-11 08:36:57.715,,,,,,,,,,
415,2022-10-10 20:51:04.570,,,,,,,,,,
431,2022-10-22 23:49:08.170,,,,,,,,,,
447,2022-12-03 12:47:57.740,,,,,,,,,,
463,2022-09-18 20:33:46.157,,,,,,,,,,
479,2022-09-08 13:56:09.224,,,,,,,,,,
495,2022-11-28 19:41:08.936,,,,,,,,,,
511,2022-10-09 00:41:42.239,660,2022-10-10 00:07:11.071,88,16,2022-10-20 15:31:44.438,2022-12-12 02:31:28.803,1,1,1,1
526,2022-09-28 07:06:03.260,,,,,,,,,,
542,2022-10-27 22:49:23.419,,,,,,,,,,
558,2022-11-01 14:33:11.442,173,2022-11-02 06:13:04.748,,,,,,,,
574,2022-10-06 18:46:04.008,,,,,,,,,,
590,2022-12-24 20:14:02.979,,,,,,,,,,
606,2022-09-23 00:25:35.401,,,,,,,,,,
622,2022-10-21 18:22:59.675,,,,,,,,,,
638,2022-11-24 05:14:44.642,,,,,,,,,,
654,2022-11-16 18:26:00.934,,,,,,,,,,
670,2022-11-11 22:55:20.977,,,,,,,,,,
686,2022-10-17 00:27:00.914,,,,,,,,,,
702,2022-11-03 22:27:20.649,282,2022-11-04 09:05:09.823,,,,,,,,
718,2022-09-04 03:54:12.842,,,,,,,,,,
734,2023-01-17 10:34:21.738,,,,,,,,,,
750,2022-10-19 22:06:11.016,970,2022-10-20 19:00:23.338,,,,,,,,
766,2023-01-04 20:53:32.304,,,,,,,,,,
777,2022-11-24 21:22:09.359,,,,,,,,,,
793,2022-10-31 23:34:05.705,,,,,,,,,,
809,2022-11-07 09:32:05.738,,,,,,,,,,
825,2022-09-29 14:25:47.936,,,,,,,,,,
841,2023-01-06 21:32:34.783,691,2023-01-07 13:23:58.224,359,368,2023-01-15 19:58:04.137,2023-03-03 14:52:48.552,0,0,0,0
841,2023-01-06 21:32:34.783,691,2023-01-07 13:23:58.224,184,25,2023-01-21 08:32:28.255,2023-03-02 18:22:24.603,0,0,0,0
841,2023-01-06 21:32:34.783,691,2023-01-07 13:23:58.224,190,248,2023-01-16 23:00:55.857,2023-02-26 03:13:43.004,0,0,0,0
857,2022-11-24 15:25:17.273,,,,,,,,,,
873,2023-01-18 10:45:00.579,,,,,,,,,,
889,2022-11-12 19:07:46.904,,,,,,,,,,
905,2022-09-02 03:52:04.977,,,,,,,,,,
921,2022-10-22 17:51:29.361,,,,,,,,,,
937,2022-10-05 10:05:25.828,,,,,,,,,,
953,2022-09-11 13:11:32.761,401,2022-09-11 16:31:04.672,,,,,,,,
969,2023-01-28 01:21:51.705,,,,,,,,,,
985,2022-10-25 18:12:06.032,133,2022-10-25 20:16:26.695,,,,,,,,
1001,2022-11-13 07:36:05.595,,,,,,,,,,
1017,2022-10-09 16:53:38.126,362,2022-10-10 13:19:05.468,,,,,,,,
1032,2022-11-18 06:57:11.034,,,,,,,,,,
1048,2022-12-18 02:14:03.328,,,,,,,,,,
1064,2022-12-12 03:59:45.938,,,,,,,,,,
1080,2023-01-07 12:14:31.424,,,,,,,,,,
1096,2022-12-05 16:41:50.029,929,2022-12-06 02:49:56.731,,,,,,,,
1112,2023-01-20 05:40:59.233,19,2023-01-21 01:48:29.456,,,,,,,,
1128,2023-01-26 10:46:10.939,683,2023-01-26 19:21:51.758,266,145,2023-01-27 07:30:06.995,2023-03-02 11:31:22.157,0,0,0,0
1128,2023-01-26 10:46:10.939,683,2023-01-26 19:21:51.758,16,426,2023-01-27 12:17:41.970,2023-03-07 20:58:23.729,0,0,0,0
1144,2023-01-17 02:31:50.595,,,,,,,,,,
1160,2022-12-10 02:19:53.602,827,2022-12-10 14:49:04.792,139,264,2022-12-11 12:16:03.002,2023-01-02 09:47:52.158,1,1,1,1
1176,2022-11-28 10:03:25.741,,,,,,,,,,
1192,2023-01-14 06:12:27.596,,,,,,,,,,
1208,2022-12-13 19:40:50.099,,,,,,,,,,
1224,2023-02-01 14:13:09.671,,,,,,,,,,
1240,2023-01-13 09:53:58.812,,,,,,,,,,
1256,2022-09-29 03:59:27.146,,,,,,,,,,
1272,2023-01-22 23:22:50.909,546,2023-01-23 01:19:58.456,,,,,,,,
1283,2022-10-01 00:01:42.579,,,,,,,,,,
1299,2022-09-27 06:19:25.891,,,,,,,,,,
1315,2022-09-30 07:36:09.050,172,2022-09-30 22:08:36.149,,,,,,,,
1331,2023-01-28 23:57:10.866,,,,,,,,,,
1347,2023-01-27 16:16:33.980,,,,,,,,,,
1363,2022-09-20 22:56:40.301,,,,,,,,,,
1379,2022-09-01 04:46:44.525,,,,,,,,,,
1395,2022-12-26 21:52:12.928,,,,,,,,,,
1411,2022-10-14 22:50:32.442,,,,,,,,,,
1427,2023-01-08 14:02:23.992,,,,,,,,,,
1443,2022-10-15 16:16:31.665,,,,,,,,,,
1459,2022-10-19 20:09:13.016,,,,,,,,,,
1475,2023-01-13 03:59:30.105,297,2023-01-13 07:18:45.171,,,,,,,,
1491,2022-09-16 21:42:05.013,303,2022-09-17 14:09:51.185,,,,,,,,
1507,2022-10-18 22:09:13.114,,,,,,,,,,
1523,2023-01-04 10:18:17.718,,,,,,,,,,
1538,2022-11-30 02:48:14.694,972,2022-11-30 05:53:48.646,,,,,,,,
1554,2022-12-07 22:02:34.614,638,2022-12-08 10:59:35.939,239,84,2022-12-11 07:51:33.217,2023-01-17 05:46:04.442,1,1,1,1
1570,2022-10-16 06:33:03.085,693,2022-10-16 23:58:04.686,,,,,,,,
1586,2022-09-23 07:36:24.943,,,,,,,,,,
1602,2022-09-07 21:54:48.101,,,,,,,,,,
1618,2022-09-21 09:18:38.651,,,,,,,,,,
1634,2023-01-08 10:11:28.256,,,,,,,,,,
1650,2022-09-24 04:39:59.949,506,2022-09-24 08:47:07.979,221,306,2022-09-30 11:00:38.662,2022-12-24 23:46:21.444,1,1,1,1
1666,2022-11-26 13:39:48.642,,,,,,,,,,
1682,2022-12-27 15:01:37.969,310,2022-12-27 15:16:44.395,,,,,,,,
1698,2023-01-26 11:55:45.924,616,2023-01-27 10:53:01.151,,,,,,,,
1714,2022-11-15 18:43:41.623,,,,,,,,,,
1730,2023-01-03 14:51:51.768,,,,,,,,,,
1746,2022-11-19 02:42:59.156,,,,,,,,,,
1762,2023-01-28 07:58:44.276,,,,,,,,,,
1778,2023-01-16 15:30:17.807,,,,,,,,,,
1805,2023-01-31 05:57:11.227,,,,,,,,,,
1821,2022-12-13 04:15:22.666,,,,,,,,,,
1837,2022-09-19 18:36:42.239,,,,,,,,,,
1853,2022-10-02 04:13:59.467,,,,,,,,,,
1869,2022-11-30 18:48:41.739,,,,,,,,,,
1885,2022-09-30 18:18:01.741,884,2022-10-01 14:38:20.128,,,,,,,,
1901,2023-01-03 11:06:46.608,,,,,,,,,,
1917,2022-12-17 20:45:30.054,,,,,,,,,,
1933,2022-09-23 00:18:23.552,,,,,,,,,,
1949,2022-11-11 09:15:34.821,,,,,,,,,,
1965,2022-12-18 20:00:19.290,,,,,,,,,,
1981,2022-11-03 10:15:04.207,,,,,,,,,,
1997,2023-01-31 05:49:29.812,,,,,,,,,,
2013,2023-01-25 08:58:09.541,,,,,,,,,,
2029,2022-10-13 08:41:52.028,,,,,,,,,,
2045,2022-11-14 14:37:04.661,,,,,,,,,,
2060,2023-01-28 11:31:11.733,1010,2023-01-29 01:13:01.172,,,,,,,,
2076,2022-10-11 03:33:38.553,,,,,,,,,,
2092,2023-01-13 17:55:40.685,126,2023-01-14 14:16:06.336,,,,,,,,
2108,2023-01-30 11:03:42.934,,,,,,,,,,
2124,2022-09-11 14:43:59.624,,,,,,,,,,
2140,2022-12-24 05:37:28.928,110,2022-12-25 02:23:00.116,,,,,,,,
2156,2022-09-02 11:48:07.265,234,2022-09-02 22:21:39.670,,,,,,,,
2172,2023-01-02 08:18:24.350,,,,,,,,,,
2188,2022-12-08 08:12:20.572,720,2022-12-09 01:52:38.039,112,379,2022-12-20 00:44:24.067,2023-01-14 23:54:11.633,1,0,2,0
2188,2022-12-08 08:12:20.572,720,2022-12-09 01:52:38.039,152,433,2022-12-23 12:37:02.966,2023-01-03 02:26:32.639,1,0,2,0
2188,2022-12-08 08:12:20.572,720,2022-12-09 01:52:38.039,68,149,2022-12-21 07:01:03.412,2023-02-20 12:12:55.189,0,0,2,0
2204,2022-11-18 18:23:48.837,,,,,,,,,,
2220,2022-10-20 22:39:42.615,,,,,,,,,,
2236,2022-11-27 09:23:53.082,903,2022-11-27 22:18:00.089,,,,,,,,
2252,2022-11-28 12:04:22.686,447,2022-11-28 13:39:41.015,,,,,,,,
2268,2022-11-01 02:19:15.073,167,2022-11-01 18:54:42.840,,,,,,,,
2284,2023-01-27 20:57:50.863,,,,,,,,,,
2300,2022-10-12 17:00:22.501,,,,,,,,,,
2311,2022-11-30 04:02:41.742,,,,,,,,,,
2327,2022-12-21 10:37:40.108,344,2022-12-21 22:22:37.783,,,,,,,,
2343,2022-11-20 23:35:38.518,,,,,,,,,,
2359,2022-09-13 01:32:47.596,,,,,,,,,,
2375,2022-12-21 03:03:51.463,,,,,,,,,,
2391,2022-10-01 07:33:15.874,,,,,,,,,,
2407,2022-11-17 15:33:58.244,,,,,,,,,,
2423,2022-10-09 17:15:41.242,,,,,,,,,,
2439,2022-12-09 00:42:36.665,,,,,,,,,,
2455,2022-11-29 04:53:45.876,,,,,,,,,,
